ID,Group,Shear_Rate,Actual_Viscosity,Predicted_Viscosity,Log10_Actual,Log10_Predicted,Log10_Error
1,poly-higg,100.0,14.38,12.042213311763561,1.1577588860468637,1.0807063158873504,-0.07705257015951328
1,poly-higg,1000.0,13.23,11.400294057280119,1.121559844187501,1.0569160536002509,-0.06464379058725012
1,poly-higg,10000.0,11.27,10.431011196427855,1.0519239160461065,1.0183264115657265,-0.033597504480380014
1,poly-higg,100000.0,9.24,8.928903069155746,0.9656719712201067,0.9507981083539203,-0.014873862866186416
1,poly-higg,15000000.0,6.92,6.585918550502155,0.8401060944567578,0.8186163553940791,-0.021489739062678703
2,none,100.0,3.25,3.2056031158077958,0.5118833609788743,0.5059097515538781,-0.005973609424996251
2,none,1000.0,3.25,3.180127731102314,0.5118833609788743,0.5024445639463325,-0.009438797032541801
2,none,10000.0,3.25,3.1691850765431564,0.5118833609788743,0.5009476021989456,-0.010935758779928695
2,none,100000.0,3.25,3.1647145421581335,0.5118833609788743,0.5003345426767376,-0.01154881830213672
2,none,15000000.0,3.25,3.0234526582523635,0.5118833609788743,0.48050317273665893,-0.03138018824221539
3,poly-higg,100.0,4.6,4.918047770718,0.6627578316815741,0.6917927428773759,0.029034911195801816
3,poly-higg,1000.0,4.6,4.781932618510405,0.6627578316815741,0.6796034522449828,0.01684562056340866
3,poly-higg,10000.0,4.6,4.539353459077217,0.6627578316815741,0.6569940006212968,-0.005763831060277336
3,poly-higg,100000.0,3.68,4.139243308741798,0.5658478186735176,0.6169209554025182,0.0510731367290006
3,poly-higg,15000000.0,2.41,2.862392769459128,0.3820170425748684,0.4567292261760758,0.0747121836012074
4,none,100.0,0.95,1.0352771096988898,-0.022276394711152253,0.015056611730301955,0.03733300644145421
4,none,1000.0,0.95,1.0464092488166032,-0.022276394711152253,0.019701569562248413,0.04197796427340067
4,none,10000.0,0.95,1.0572609790505263,-0.022276394711152253,0.02418220374213763,0.04645859845328988
