axis,bin,observed_clusters,required_clusters,deficit,leverage,remedy,on_frontier
Buffer_pH,nivolumab,2,5,3.0,0.9142089009699971,acquire_rows_within_cluster,True
Protein_conc,etanercept,3,5,2.0,0.9334022082394604,acquire_rows_within_cluster,True
Buffer_pH,etanercept,3,5,2.0,0.9334022082394604,acquire_rows_within_cluster,True
Whole_Antibody_Charge_at_Buffer_pH,etanercept,3,5,2.0,0.9334022082394604,acquire_rows_within_cluster,True
Buffer_pH,pembrolizumab,2,5,3.0,0.6590969491948954,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,vudalimab,2,5,3.0,0.4183405584244097,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,belatacept,2,5,3.0,0.36056688183784696,acquire_rows_within_cluster,False
Protein_conc,trastuzumab,2,5,3.0,0.23157774276069315,acquire_rows_within_cluster,False
Buffer_pH,trastuzumab,2,5,3.0,0.23157774276069315,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,trastuzumab,2,5,3.0,0.23157774276069315,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,nivolumab,3,5,2.0,0.9142089009699971,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,bsa,3,5,2.0,0.8971727852737632,acquire_rows_within_cluster,False
Buffer_pH,poly-higg,3,5,2.0,0.8474631597937754,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,poly-higg,3,5,2.0,0.8474631597937754,acquire_rows_within_cluster,False
Buffer_pH,adalimumab,3,5,2.0,0.7196540015385747,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,adalimumab,3,5,2.0,0.7196540015385747,acquire_rows_within_cluster,False
Buffer_pH,ibalizumab,3,5,2.0,0.6593273577164455,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,pembrolizumab,3,5,2.0,0.6590969491948954,acquire_rows_within_cluster,False
Buffer_pH,bgg,3,5,2.0,0.49999147057827237,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,bgg,3,5,2.0,0.49999147057827237,acquire_rows_within_cluster,False
Protein_conc,bevacizumab,3,5,2.0,0.4731887552301158,acquire_rows_within_cluster,False
Buffer_pH,bevacizumab,3,5,2.0,0.4731887552301158,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,bevacizumab,3,5,2.0,0.4731887552301158,acquire_rows_within_cluster,False
Protein_conc,vudalimab,3,5,2.0,0.4183405584244097,acquire_rows_within_cluster,False
Buffer_pH,belatacept,3,5,2.0,0.36056688183784696,acquire_rows_within_cluster,False
Buffer_pH,bsa,4,5,1.0,0.8971727852737632,acquire_rows_within_cluster,False
Protein_conc,adalimumab,4,5,1.0,0.7196540015385747,acquire_rows_within_cluster,False
Whole_Antibody_Charge_at_Buffer_pH,ibalizumab,4,5,1.0,0.6593273577164455,acquire_rows_within_cluster,False
Protein_conc,pembrolizumab,4,5,1.0,0.6590969491948954,acquire_rows_within_cluster,False
Protein_conc,bgg,4,5,1.0,0.49999147057827237,acquire_rows_within_cluster,False
Buffer_pH,vudalimab,4,5,1.0,0.4183405584244097,acquire_rows_within_cluster,False
Protein_conc,belatacept,4,5,1.0,0.36056688183784696,acquire_rows_within_cluster,False
