rank,void_score,nearest_neighbour_distance,response_leverage,nearest_protein,MW_min,MW_max,PI_mean_min,PI_mean_max,PI_range_min,PI_range_max,kP_min,kP_max
1,2.6897293408744636,2.998005941579826,0.8971727852737632,bsa,60.34032477581867,66.66828347498591,2.9847959148728807,3.2781659651826285,1.0502723846360293,1.1063988796826736,2.052321327927415,2.2353538115496403
2,2.011578069371516,2.1551031823308633,0.9334022082394604,etanercept,196.0841688610993,202.41212756026653,9.04861981988607,9.34198987019582,0.8792883421408983,0.9354148371875425,5.422373024992128,5.6054055086143535
3,1.7812629250763203,2.1018765293700543,0.8474631597937754,poly-higg,149.26143282792304,155.5893915270903,7.709820741231923,8.003190791541671,0.6579234323953482,0.7140499274419922,1.5118415230824818,1.694874006704707
4,1.4954762272071165,1.6358145557545778,0.9142089009699971,nivolumab,175.04364138047717,181.37160007964442,8.725071018717637,9.018441069027384,0.6100052753912765,0.6661317704379206,3.817623424700725,4.00065590832295
5,1.4763996708540168,2.0515409734366346,0.7196540015385747,adalimumab,141.93090342122613,148.2588621203934,8.085612011393755,8.378982061703503,0.2657734837742101,0.3218999788208543,1.2206830239766169,1.4037155075988421
