Group,Shear_rate,Concept,Concept_idx,Activation_type,Intervention_value,Baseline_log_visc,Predicted_log_visc,Delta_log_visc
adalimumab,100,self_interaction,0,tanh,-1.0,0.7203569607243611,0.8025576925251683,0.08220073180080723
adalimumab,100,self_interaction,0,tanh,-0.5,0.7203569607243611,0.7513008278823683,0.030943867158007232
adalimumab,100,self_interaction,0,tanh,0.0,0.7203569607243611,0.7074229493796208,-0.01293401134474026
adalimumab,100,self_interaction,0,tanh,0.5,0.7203569607243611,0.6859515852695808,-0.034405375454780285
adalimumab,100,self_interaction,0,tanh,1.0,0.7203569607243611,0.688895703322802,-0.03146125740155903
adalimumab,100,hydrophobicity,1,sigmoid,0.0,0.7203569607243611,0.7103519656784322,-0.010004995045928888
adalimumab,100,hydrophobicity,1,sigmoid,0.25,0.7203569607243611,0.717761858696688,-0.002595102027673102
adalimumab,100,hydrophobicity,1,sigmoid,0.5,0.7203569607243611,0.720986579759247,0.0006296190348858977
adalimumab,100,hydrophobicity,1,sigmoid,0.75,0.7203569607243611,0.7254798481922415,0.005122887467880477
adalimumab,100,hydrophobicity,1,sigmoid,1.0,0.7203569607243611,0.7310442033849278,0.010687242660566754
adalimumab,100,charge_environment,2,tanh,-1.0,0.7203569607243611,0.6981426523593561,-0.02221430836500493
adalimumab,100,charge_environment,2,tanh,-0.5,0.7203569607243611,0.7046809672748099,-0.015675993449551173
adalimumab,100,charge_environment,2,tanh,0.0,0.7203569607243611,0.7133589732294703,-0.006997987494890778
adalimumab,100,charge_environment,2,tanh,0.5,0.7203569607243611,0.7277261824423841,0.007369221718023011
adalimumab,100,charge_environment,2,tanh,1.0,0.7203569607243611,0.7405857607564846,0.020228800032123573
adalimumab,100,ionic_screening,3,sigmoid,0.0,0.7203569607243611,0.7030686170871978,-0.01728834363716325
adalimumab,100,ionic_screening,3,sigmoid,0.25,0.7203569607243611,0.7130341820729824,-0.0073227786513786475
adalimumab,100,ionic_screening,3,sigmoid,0.5,0.7203569607243611,0.7236680927844137,0.003311132060052624
adalimumab,100,ionic_screening,3,sigmoid,0.75,0.7203569607243611,0.7356646161776532,0.015307655453292157
