Feature,Importance_dMSE
num__conc_sq,0.00910453256222756
num__conc_x_HCI,0.005203402666093201
num__KD_Asymptote,0.0034357620933990187
num__Temperature,0.002743709138249815
num__Phi_Total,0.002469848710597684
num__Exp_Crowding,0.0023211565091507697
num__conc_x_kP,0.0020944111031904137
num__Phi_Protein,0.0019439798530016669
num__Protein_conc,0.001729540973112606
num__Total_Solute_Mass,0.00162775883126191
num__log_conc,0.001624879895659283
num__Stabilizer_Squared,0.001136508245467403
cat__Buffer_type_acetate,0.0009722657788705626
num__Crowding_Index,0.0008973859785912407
cat__Protein_type_etanercept,0.0008212982968416162
num__Buffer_conc,0.0007670383258391754
num__Buffer_pH,0.0007458662077246938
cat__Protein_class_type_other,0.0007092507791065317
cat__Protein_type_bsa,0.0007014068481322111
num__charge_x_ionic,0.0006411223628453571
cat__Protein_type_poly-higg,0.0006342771716855771
num__trehalose_high,0.0006233047540996966
cat__Protein_type_adalimumab,0.0006092539343748281
num__prior_nacl,0.0005987465885178888
cat__Protein_class_type_bispecific,0.0005987180705215814
cat__Protein_class_type_fc-fusion,0.0005782411834871857
num__PI_range,0.0005339239053614555
cat__Protein_type_vudalimab,0.0005146461008893738
num__arginine_low,0.0005062272736115559
num__prior_arginine,0.0004707315018256837
cat__Buffer_type_histidine,0.00046450689800701505
num__Salt_conc,0.0004577421294920496
cat__Protein_type_nivolumab,0.0004190919824508836
cat__Stabilizer_type_sucrose,0.00039846455669510176
num__lysine_high,0.0003914600528839487
num__Excipient_conc,0.000356701335490827
num__trehalose_low,0.00035594036043993214
cat__Protein_class_type_polyclonal,0.0003411088912292507
num__Stabilizer_conc,0.00033155554777169766
cat__Protein_type_pembrolizumab,0.00033133593658334504
num__Phi_Stabilizer,0.000327193117795911
num__tween-20_low,0.00032579181851149965
num__PI_mean,0.0003014564385261714
num__C_Class,0.0002830391281655204
num__prior_stabilizer,0.00028047055299323075
num__nacl_low,0.0002696207856147737
num__tween-20_high,0.0002492389928865652
num__proline_high,0.00024187941547092282
cat__Excipient_type_lysine,0.00024130257175591398
num__HCI,0.0002345035607333075
cat__Salt_type_nacl,0.00023362186179965404
num__kP,0.00022815968004546907
cat__Excipient_type_none,0.00022585629794051945
num__prior_tween-80,0.00022311074016683006
cat__Stabilizer_type_none,0.00021121159243306896
num__tween-80_low,0.00020779756129687358
num__proline_low,0.00020198258797825275
num__Effective_Protein_Fraction,0.00019566116624292716
num__prior_lysine,0.0001947572678689096
num__lysine_low,0.00019204404786159722
num__prior_proline,0.00018642950889385685
cat__Protein_type_trastuzumab,0.00018139388197074054
num__tween-80_high,0.0001753688891621098
cat__Salt_type_none,0.00016799261186165124
cat__Protein_type_bevacizumab,0.00016761564883876427
num__arginine_high,0.0001676155605677158
num__Surfactant_conc,0.00016743961454651103
cat__Buffer_type_pbs,0.00016451786524454733
cat__Protein_class_type_mab_igg1,0.00014160316657578064
cat__Surfactant_type_none,0.0001320970460789387
num__nacl_high,0.00012648175230554285
num__MW,0.00012213427760035447
cat__Excipient_type_arginine,0.00012065795879234557
cat__Surfactant_type_tween-20,0.00010876222765968634
cat__Protein_type_belatacept,9.023416636612467e-05
cat__Surfactant_type_tween-80,8.74630643798776e-05
cat__Protein_type_bgg,7.588008322685982e-05
cat__Excipient_type_proline,6.284442390248977e-05
cat__Protein_class_type_none,4.8275761524433324e-05
cat__Stabilizer_type_trehalose,3.40112337017329e-05
cat__Protein_class_type_mab_igg4,3.0307438100342712e-05
num__prior_tween-20,0.0
num__stabilizer_low,0.0
num__stabilizer_high,0.0
cat__Protein_type_none,-0.00015502705409604174
