Feature_Group,Importance_dMSE
conc_sq,0.00910453256222756
conc_x_HCI,0.005203402666093201
Protein_type,0.004391406997264282
KD_Asymptote,0.0034357620933990187
Temperature,0.002743709138249815
Phi_Total,0.002469848710597684
Protein_class_type,0.002447505290545106
Exp_Crowding,0.0023211565091507697
conc_x_kP,0.0020944111031904137
Phi_Protein,0.0019439798530016669
Protein_conc,0.001729540973112606
Total_Solute_Mass,0.00162775883126191
log_conc,0.001624879895659283
Buffer_type,0.001601290542122125
Stabilizer_Squared,0.001136508245467403
Crowding_Index,0.0008973859785912407
Buffer_conc,0.0007670383258391754
Buffer_pH,0.0007458662077246938
Excipient_type,0.0006506612523912688
Stabilizer_type,0.0006436873828299036
charge_x_ionic,0.0006411223628453571
trehalose_high,0.0006233047540996966
prior_nacl,0.0005987465885178888
PI_range,0.0005339239053614555
arginine_low,0.0005062272736115559
prior_arginine,0.0004707315018256837
Salt_conc,0.0004577421294920496
Salt_type,0.0004016144736613053
lysine_high,0.0003914600528839487
Excipient_conc,0.000356701335490827
trehalose_low,0.00035594036043993214
Stabilizer_conc,0.00033155554777169766
Surfactant_type,0.00032832233811850263
Phi_Stabilizer,0.000327193117795911
tween-20_low,0.00032579181851149965
PI_mean,0.0003014564385261714
C_Class,0.0002830391281655204
prior_stabilizer,0.00028047055299323075
nacl_low,0.0002696207856147737
tween-20_high,0.0002492389928865652
proline_high,0.00024187941547092282
HCI,0.0002345035607333075
kP,0.00022815968004546907
prior_tween-80,0.00022311074016683006
tween-80_low,0.00020779756129687358
proline_low,0.00020198258797825275
Effective_Protein_Fraction,0.00019566116624292716
prior_lysine,0.0001947572678689096
lysine_low,0.00019204404786159722
prior_proline,0.00018642950889385685
tween-80_high,0.0001753688891621098
arginine_high,0.0001676155605677158
Surfactant_conc,0.00016743961454651103
nacl_high,0.00012648175230554285
MW,0.00012213427760035447
prior_tween-20,0.0
stabilizer_low,0.0
stabilizer_high,0.0
