ID,Protein,Protein_class,Regime,CCI,Protein_conc,Stabilizer,Stab_conc_M,Buffer_pH,Obs_visc_cP,Base_visc_cP,Delta_log10,Prior_correct
223,bevacizumab,mab_igg1,Mixed,0.5490,75.0000,sucrose,0.2500,7.4000,2.8200,2.2550,0.0971,True
49,bgg,polyclonal,Mixed,0.5280,85.0000,sucrose,0.2200,7.4000,3.4500,2.5560,0.1303,True
51,bgg,polyclonal,Mixed,0.5280,64.0000,sucrose,0.7040,7.4000,3.6200,2.0680,0.2431,True
83,bgg,polyclonal,Mixed,0.5280,163.0000,trehalose,1.0000,7.4000,18.0600,5.8440,0.4900,True
86,bgg,polyclonal,Mixed,0.5280,77.0000,trehalose,1.0000,7.4000,5.7500,2.5370,0.3554,True
88,bgg,polyclonal,Mixed,0.5280,66.0000,trehalose,0.4700,7.4000,2.4200,2.3960,0.0044,True
103,bgg,polyclonal,Mixed,0.6030,44.0000,sucrose,0.2500,6.0000,2.0200,1.6930,0.0766,True
104,bgg,polyclonal,Mixed,0.6030,71.5000,sucrose,0.7500,6.0000,5.2300,2.3960,0.3391,True
137,bgg,polyclonal,Far,0.3100,159.0000,sucrose,0.4760,5.0000,9.6500,5.8440,0.2178,True
138,bgg,polyclonal,Far,0.3100,97.0000,sucrose,1.0000,5.0000,10.1100,2.8720,0.5466,True
139,bgg,polyclonal,Far,0.3100,181.0000,sucrose,0.1000,5.0000,15.6200,8.1600,0.2820,True
140,bgg,polyclonal,Far,0.3100,154.0000,sucrose,0.1000,5.0000,5.9700,5.8440,0.0093,True
141,bgg,polyclonal,Far,0.3100,102.0000,sucrose,0.1000,5.0000,2.7600,2.8720,-0.0173,False
142,bgg,polyclonal,Far,0.3100,75.0000,sucrose,0.1000,5.0000,2.0200,2.5370,-0.0989,False
21,bsa,other,Far,0.1410,185.0000,sucrose,0.4100,7.4000,9.0900,4.2490,0.3303,True
22,bsa,other,Far,0.1410,83.3000,sucrose,0.1900,7.4000,2.1900,1.8100,0.0828,True
56,bsa,other,Far,0.1410,132.0000,sucrose,0.4600,7.4000,3.5100,3.0420,0.0622,True
82,bsa,other,Far,0.1410,145.0000,trehalose,1.0000,7.4000,10.3500,3.5870,0.4601,True
85,bsa,other,Far,0.1410,65.0000,trehalose,1.0000,7.4000,4.9500,1.7900,0.4418,True
89,bsa,other,Far,0.1410,67.0000,trehalose,0.4660,7.4000,2.6500,1.7900,0.1704,True
133,bsa,other,Mixed,0.6960,150.0000,sucrose,0.5100,5.0000,5.0500,3.7000,0.1351,True
134,bsa,other,Mixed,0.6960,94.0000,sucrose,0.9780,5.0000,6.7000,1.8100,0.5684,True
143,bsa,other,Mixed,0.6960,183.0000,sucrose,0.1000,5.0000,4.0400,4.2490,-0.0219,False
144,bsa,other,Mixed,0.6960,125.0000,sucrose,0.1000,5.0000,3.0400,2.3000,0.1211,True
145,bsa,other,Mixed,0.6960,105.0000,sucrose,0.1000,5.0000,2.4800,2.2870,0.0352,True
146,bsa,other,Mixed,0.6960,63.0000,sucrose,0.1000,5.0000,1.8400,1.7900,0.0120,True
399,etanercept,fc-fusion,Far,0.2030,55.0000,sucrose,0.2500,5.0000,5.3400,5.3040,0.0029,True
402,etanercept,fc-fusion,Far,0.2030,20.0000,sucrose,0.2500,5.0000,1.9800,1.5030,0.1197,True
404,etanercept,fc-fusion,Far,0.2030,20.0000,sucrose,0.2500,5.0000,2.1100,1.5030,0.1474,True
405,etanercept,fc-fusion,Near-pI,1.0030,55.0000,sucrose,0.2000,7.4000,5.6900,5.3040,0.0305,True
407,etanercept,fc-fusion,Near-pI,1.0030,55.0000,sucrose,0.2000,7.4000,7.6600,5.3040,0.1596,True
262,ibalizumab,mab_igg4,Far,0.3430,187.5000,sucrose,0.7500,6.0000,4.2200,2.5300,0.2222,True
264,ibalizumab,mab_igg4,Near-pI,0.8710,245.0000,trehalose,0.1550,7.4000,8.7300,11.9400,-0.1360,False
265,ibalizumab,mab_igg4,Far,0.3430,230.0000,sucrose,0.5000,6.0000,5.9700,13.5500,-0.3560,False
266,ibalizumab,mab_igg4,Near-pI,0.8710,150.0000,sucrose,0.7500,7.4000,7.3500,2.5300,0.4632,True
268,ibalizumab,mab_igg4,Far,0.3430,150.0000,trehalose,0.2500,6.0000,3.6700,2.5300,0.1615,True
270,ibalizumab,mab_igg4,Far,0.1760,70.0000,sucrose,0.7500,5.0000,3.4000,1.7040,0.3000,True
271,ibalizumab,mab_igg4,Far,0.1760,70.0000,trehalose,0.5000,5.0000,3.1300,1.7040,0.2641,True
273,ibalizumab,mab_igg4,Far,0.1760,55.0000,trehalose,0.2500,5.0000,1.7000,1.2430,0.1362,True
275,ibalizumab,mab_igg4,Far,0.1760,40.0000,trehalose,0.5000,5.0000,1.8400,1.1610,0.2000,True
277,ibalizumab,mab_igg4,Far,0.1760,10.0000,sucrose,0.2500,5.0000,1.0100,1.1010,-0.0375,False
278,ibalizumab,mab_igg4,Far,0.1760,10.0000,trehalose,0.2500,5.0000,1.2000,1.1010,0.0374,True
279,ibalizumab,mab_igg4,Far,0.3430,100.0000,trehalose,0.2500,6.0000,2.9400,3.0400,-0.0145,False
280,ibalizumab,mab_igg4,Far,0.3430,75.0000,sucrose,0.5000,6.0000,2.1200,1.9670,0.0326,True
