Protein,Protein_class,Buffer,Buffer_conc,Ingredient,Conc_Level,Model_source,Source_class,Source_proteins,N_Samples,N_Baseline,N_Ingredient,Mean_Protein_conc,Conc_Range_Min,Conc_Range_Max,Median_Conc,R2_logK,R2_n,Residual_std_logK,Residual_std_n,Boot_pred_std_logK,Boot_pred_std_n,Baseline_logK_mean,Baseline_n_mean,dlogK_dc_at_median,dn_dc_at_median
Adalimumab,mAb_IgG1,Histidine,15.0,NaCl,Medium,class_inferred,mAb_IgG1,Adalimumab|Bevacizumab|Trastuzumab,4.0,3.0,1.0,135.0,0.0,140.0,0.0,0.03872525815952066,0.003050049256555609,0.8371198053969662,0.052351872972026925,0.4775748774195171,0.029897671946866294,2.0118044785573286,0.917254242741973,0.0013688013084101058,2.359002338088445e-05
Adalimumab,mAb_IgG1,Histidine,15.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,25.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,30.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
