Protein,Protein_class,Buffer,Buffer_conc,Ingredient,Conc_Level,Model_source,Source_class,Source_proteins,N_Samples,N_Baseline,N_Ingredient,Mean_Protein_conc,Conc_Range_Min,Conc_Range_Max,Median_Conc,R2_logK,R2_n,Residual_std_logK,Residual_std_n,Boot_pred_std_logK,Boot_pred_std_n,Baseline_logK_mean,Baseline_n_mean,dlogK_dc_at_median,dn_dc_at_median
Adalimumab,mAb_IgG1,Acetate,50.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,50.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Acetate,80.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Sucrose,Low,class_inferred,mAb_IgG1,Adalimumab|Bevacizumab|Trastuzumab,4.0,1.0,3.0,100.0,0.0,0.5,0.5,0.3545007706589859,0.11829022469077244,0.27976864028231996,0.02182451569897808,0.15845811301520468,0.012053855384651315,1.5364573129209755,0.9257939917590777,-1.4187910685636906,0.054703473263686964
Adalimumab,mAb_IgG1,Histidine,15.0,Sucrose,Medium,class_inferred,mAb_IgG1,Adalimumab|Bevacizumab|Trastuzumab,4.0,3.0,1.0,135.0,0.0,0.4,0.0,0.2667561876529194,0.2164493515398671,0.8371404482790888,0.05235296306796251,0.5014426113115388,0.029483631498123816,2.0118044785573286,0.917254242741973,1.4397225875095732,-0.07845729278928293
Adalimumab,mAb_IgG1,Histidine,15.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
