,MW(kDa),PI_mean,PI_range,Protein,Temperature,Sugar(M),Concentration,MW(kDa)_log,PI_mean_log,PI_range_log,Protein_log,Temperature_log,Sugar(M)_log,Concentration_log,MW(kDa)_squared,MW(kDa)_cubed,PI_mean_squared,PI_mean_cubed,PI_range_squared,PI_range_cubed,Protein_squared,Protein_cubed,Temperature_squared,Temperature_cubed,Sugar(M)_squared,Sugar(M)_cubed,Concentration_squared,Concentration_cubed,Protein_Conc_Interaction,Temp_Sugar_Interaction,MW_PImean_Interaction,MW(kDa)_inv,PI_mean_inv,PI_range_inv,Protein_inv,Temperature_inv,Sugar(M)_inv,Concentration_inv,MW(kDa)_norm,PI_mean_norm,PI_range_norm,Protein_norm,Temperature_norm,Sugar(M)_norm,Concentration_norm,Protein type_BGG,Protein type_BSA,Protein type_none,Protein type_poly-hIgG,Buffer_Histidine,Buffer_PBS,Sugar_Sucrose,Sugar_Trehalose,Sugar_none,Surfactant_none,Surfactant_tween-20,Surfactant_tween-80,Protein type_BGG_freq,Protein type_BSA_freq,Protein type_none_freq,Protein type_poly-hIgG_freq,Buffer_Histidine_freq,Buffer_PBS_freq,Sugar_Sucrose_freq,Sugar_Trehalose_freq,Sugar_none_freq,Surfactant_none_freq,Surfactant_tween-20_freq,Surfactant_tween-80_freq
0,150.0,7.6,1.0,145.0,25,1.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.983606621708336,3.258096538021482,0.6931471805599453,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,21025.0,3048625.0,625,15625,1.0,1.0,0.0,0.0,0.0,25.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.006896551724137931,0.04,1.0,0.0,1.0,1.0,1.0,0.5576923076923077,,0.9900990099009901,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
1,0.0,0.0,0.0,0.0,25,1.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,,0.9900990099009901,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
2,150.0,7.6,1.0,140.0,25,0.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.948759890378168,3.258096538021482,0.0,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,19600.0,2744000.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.007142857142857143,0.04,0.0,0.0,1.0,1.0,1.0,0.5384615384615384,,0.0,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
3,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,1,0,0,1,0,0,1,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
4,150.0,7.6,1.0,142.0,25,0.5,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.962844630259907,3.258096538021482,0.4054651081081644,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,20164.0,2863288.0,625,15625,0.25,0.125,0.0,0.0,0.0,12.5,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.007042253521126761,0.04,2.0,0.0,1.0,1.0,1.0,0.5461538461538461,,0.49504950495049505,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
5,150.0,7.6,1.0,70.0,25,1.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.2626798770413155,3.258096538021482,0.6931471805599453,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,4900.0,343000.0,625,15625,1.0,1.0,0.0,0.0,0.0,25.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.014285714285714285,0.04,1.0,0.0,1.0,1.0,1.0,0.2692307692307692,,0.9900990099009901,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
6,150.0,7.6,1.0,93.0,25,0.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.543294782270004,3.258096538021482,0.0,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,8649.0,804357.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.010752688172043012,0.04,0.0,0.0,1.0,1.0,1.0,0.3576923076923077,,0.0,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
7,150.0,7.6,1.0,47.0,25,0.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,3.871201010907891,3.258096538021482,0.0,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,2209.0,103823.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.02127659574468085,0.04,0.0,0.0,1.0,1.0,1.0,0.18076923076923077,,0.0,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
8,150.0,7.6,1.0,140.0,25,0.25,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.948759890378168,3.258096538021482,0.22314355131420976,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,19600.0,2744000.0,625,15625,0.0625,0.015625,0.0,0.0,0.0,6.25,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.007142857142857143,0.04,4.0,0.0,1.0,1.0,1.0,0.5384615384615384,,0.24752475247524752,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
9,150.0,7.6,1.0,52.0,25,0.75,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,3.970291913552122,3.258096538021482,0.5596157879354227,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,2704.0,140608.0,625,15625,0.5625,0.421875,0.0,0.0,0.0,18.75,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.019230769230769232,0.04,1.3333333333333333,0.0,1.0,1.0,1.0,0.2,,0.7425742574257426,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
