,MW(kDa),PI_mean,PI_range,Protein,Temperature,Sugar(M),Concentration,MW(kDa)_log,PI_mean_log,PI_range_log,Protein_log,Temperature_log,Sugar(M)_log,Concentration_log,MW(kDa)_squared,MW(kDa)_cubed,PI_mean_squared,PI_mean_cubed,PI_range_squared,PI_range_cubed,Protein_squared,Protein_cubed,Temperature_squared,Temperature_cubed,Sugar(M)_squared,Sugar(M)_cubed,Concentration_squared,Concentration_cubed,Protein_Conc_Interaction,Temp_Sugar_Interaction,MW_PImean_Interaction,MW(kDa)_inv,PI_mean_inv,PI_range_inv,Protein_inv,Temperature_inv,Sugar(M)_inv,Concentration_inv,MW(kDa)_norm,PI_mean_norm,PI_range_norm,Protein_norm,Temperature_norm,Sugar(M)_norm,Concentration_norm,Protein type_BGG,Protein type_BSA,Protein type_none,Protein type_poly-hIgG,Buffer_Histidine,Buffer_PBS,Sugar_Sucrose,Sugar_Trehalose,Sugar_none,Surfactant_none,Surfactant_tween-20,Surfactant_tween-80,Protein type_BGG_freq,Protein type_BSA_freq,Protein type_none_freq,Protein type_poly-hIgG_freq,Buffer_Histidine_freq,Buffer_PBS_freq,Sugar_Sucrose_freq,Sugar_Trehalose_freq,Sugar_none_freq,Surfactant_none_freq,Surfactant_tween-20_freq,Surfactant_tween-80_freq
10,150.0,7.6,1.0,145.0,25,1.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.983606621708336,3.258096538021482,0.6931471805599453,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,21025.0,3048625.0,625,15625,1.0,1.0,0.0,0.0,0.0,25.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.006896551724137931,0.04,1.0,0.0,1.0,1.0,1.0,0.5576923076923077,,0.9900990099009901,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
11,150.0,7.6,1.0,137.0,25,0.0,0.1,5.017279836814924,2.151762203259462,0.6931471805599453,4.927253685157205,3.258096538021482,0.0,0.09531017980432487,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,18769.0,2571353.0,625,15625,0.0,0.0,0.010000000000000002,0.0010000000000000002,13.700000000000001,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.0072992700729927005,0.04,0.0,10.0,1.0,1.0,1.0,0.5269230769230769,,0.0,0.4,0,0,0,1,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
12,150.0,7.6,1.0,142.0,25,1.0,0.1,5.017279836814924,2.151762203259462,0.6931471805599453,4.962844630259907,3.258096538021482,0.6931471805599453,0.09531017980432487,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,20164.0,2863288.0,625,15625,1.0,1.0,0.010000000000000002,0.0010000000000000002,14.200000000000001,25.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.007042253521126761,0.04,1.0,10.0,1.0,1.0,1.0,0.5461538461538461,,0.9900990099009901,0.4,0,0,0,1,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
13,0.0,0.0,0.0,0.0,25,0.1,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.010000000000000002,0.0010000000000000002,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,,0.09900990099009901,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
14,0.0,0.0,0.0,0.0,25,0.2,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.18232155679395465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.04000000000000001,0.008000000000000002,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,,0.19801980198019803,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
15,0.0,0.0,0.0,0.0,25,0.4,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.33647223662121295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.16000000000000003,0.06400000000000002,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,,0.39603960396039606,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
16,0.0,0.0,0.0,0.0,25,0.5,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.25,0.125,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0,,0.49504950495049505,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
17,0.0,0.0,0.0,0.0,25,0.75,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.5596157879354227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.5625,0.421875,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.04,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,,0.7425742574257426,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
18,150.0,7.6,1.0,260.0,25,0.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,5.564520407322694,3.258096538021482,0.0,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,67600.0,17576000.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.0038461538461538464,0.04,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
19,150.0,7.6,1.0,240.0,25,1.0,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,5.484796933490655,3.258096538021482,0.6931471805599453,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,57600.0,13824000.0,625,15625,1.0,1.0,0.0,0.0,0.0,25.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.004166666666666667,0.04,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,,0.9900990099009901,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
20,66.0,4.7,0.3,185.0,25,0.41,0.0,4.204692619390966,1.7404661748405046,0.262364264467491,5.225746673713202,3.258096538021482,0.3435897043900769,0.0,4356.0,287496.0,22.090000000000003,103.82300000000001,0.09,0.026999999999999996,34225.0,6331625.0,625,15625,0.16809999999999997,0.06892099999999998,0.0,0.0,0.0,10.25,310.2,0.015151515151515152,0.2127659574468085,3.3333333333333335,0.005405405405405406,0.04,2.4390243902439024,0.0,0.44,0.618421052631579,0.3,0.7115384615384616,,0.4059405940594059,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.07017543859649122,0.5526315789473685,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
21,66.0,4.7,0.3,83.3,25,0.19,0.0,4.204692619390966,1.7404661748405046,0.262364264467491,4.4343818650078095,3.258096538021482,0.17395330712343804,0.0,4356.0,287496.0,22.090000000000003,103.82300000000001,0.09,0.026999999999999996,6938.889999999999,578009.5369999999,625,15625,0.0361,0.0068590000000000005,0.0,0.0,0.0,4.75,310.2,0.015151515151515152,0.2127659574468085,3.3333333333333335,0.012004801920768308,0.04,5.2631578947368425,0.0,0.44,0.618421052631579,0.3,0.3203846153846154,,0.18811881188118812,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0.8596491228070176,0.07017543859649122,0.5526315789473685,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
22,150.0,7.6,1.0,38.3,25,0.0,0.21,5.017279836814924,2.151762203259462,0.6931471805599453,3.6712245188752153,3.258096538021482,0.0,0.19062035960864973,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,1466.8899999999999,56181.88699999999,625,15625,0.0,0.0,0.04409999999999999,0.009260999999999998,8.043,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.026109660574412535,0.04,0.0,4.761904761904762,1.0,1.0,1.0,0.1473076923076923,,0.0,0.84,0,0,0,1,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
23,150.0,7.6,1.0,124.0,25,0.0,0.09,5.017279836814924,2.151762203259462,0.6931471805599453,4.8283137373023015,3.258096538021482,0.0,0.08617769624105233,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,15376.0,1906624.0,625,15625,0.0,0.0,0.0081,0.0007289999999999999,11.16,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.008064516129032258,0.04,0.0,11.11111111111111,1.0,1.0,1.0,0.47692307692307695,,0.0,0.36,0,0,0,1,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
24,150.0,7.6,1.0,189.0,25,0.0,0.05,5.017279836814924,2.151762203259462,0.6931471805599453,5.247024072160486,3.258096538021482,0.0,0.048790164169432,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,35721.0,6751269.0,625,15625,0.0,0.0,0.0025000000000000005,0.00012500000000000003,9.450000000000001,0.0,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.005291005291005291,0.04,0.0,20.0,1.0,1.0,1.0,0.7269230769230769,,0.0,0.2,0,0,0,1,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
25,150.0,7.6,1.0,95.0,25,0.46,0.0,5.017279836814924,2.151762203259462,0.6931471805599453,4.564348191467836,3.258096538021482,0.3784364357202451,0.0,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,9025.0,857375.0,625,15625,0.2116,0.097336,0.0,0.0,0.0,11.5,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.010526315789473684,0.04,2.1739130434782608,0.0,1.0,1.0,1.0,0.36538461538461536,,0.45544554455445546,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.45614035087719296,0.6666666666666666,0.7894736842105263
26,150.0,7.6,1.0,164.0,25,0.3,0.1,5.017279836814924,2.151762203259462,0.6931471805599453,5.10594547390058,3.258096538021482,0.262364264467491,0.09531017980432487,22500.0,3375000.0,57.76,438.97599999999994,1.0,1.0,26896.0,4410944.0,625,15625,0.09,0.026999999999999996,0.010000000000000002,0.0010000000000000002,16.400000000000002,7.5,1140.0,0.006666666666666667,0.13157894736842105,1.0,0.006097560975609756,0.04,3.3333333333333335,10.0,1.0,1.0,1.0,0.6307692307692307,,0.297029702970297,0.4,0,0,0,1,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.5526315789473685,0.34210526315789475,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
27,66.0,4.7,0.3,177.0,25,0.0,0.0,4.204692619390966,1.7404661748405046,0.262364264467491,5.181783550292085,3.258096538021482,0.0,0.0,4356.0,287496.0,22.090000000000003,103.82300000000001,0.09,0.026999999999999996,31329.0,5545233.0,625,15625,0.0,0.0,0.0,0.0,0.0,0.0,310.2,0.015151515151515152,0.2127659574468085,3.3333333333333335,0.005649717514124294,0.04,0.0,0.0,0.44,0.618421052631579,0.3,0.6807692307692308,,0.0,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0.8596491228070176,0.07017543859649122,0.5526315789473685,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.45614035087719296,0.6666666666666666,0.7894736842105263
28,0.0,0.0,0.0,0.0,25,0.0,0.1,0.0,0.0,0.0,0.0,3.258096538021482,0.0,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.0,0.0,0.010000000000000002,0.0010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.4,0,0,1,0,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
29,0.0,0.0,0.0,0.0,25,0.0,0.05,0.0,0.0,0.0,0.0,3.258096538021482,0.0,0.048790164169432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.0,0.0,0.0025000000000000005,0.00012500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.2,0,0,1,0,0,1,0,0,1,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.5350877192982456,0.8333333333333334,0.3684210526315789,0.543859649122807,0.3333333333333333,0.7894736842105263
30,0.0,0.0,0.0,0.0,25,0.1,0.1,0.0,0.0,0.0,0.0,3.258096538021482,0.09531017980432487,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.010000000000000002,0.0010000000000000002,0.010000000000000002,0.0010000000000000002,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.04,10.0,10.0,0.0,0.0,0.0,0.0,,0.09900990099009901,0.4,0,0,1,0,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
31,0.0,0.0,0.0,0.0,25,0.2,0.1,0.0,0.0,0.0,0.0,3.258096538021482,0.18232155679395465,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.04000000000000001,0.008000000000000002,0.010000000000000002,0.0010000000000000002,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,10.0,0.0,0.0,0.0,0.0,,0.19801980198019803,0.4,0,0,1,0,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
32,0.0,0.0,0.0,0.0,25,0.4,0.1,0.0,0.0,0.0,0.0,3.258096538021482,0.33647223662121295,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.16000000000000003,0.06400000000000002,0.010000000000000002,0.0010000000000000002,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2.5,10.0,0.0,0.0,0.0,0.0,,0.39603960396039606,0.4,0,0,1,0,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
33,0.0,0.0,0.0,0.0,25,0.75,0.1,0.0,0.0,0.0,0.0,3.258096538021482,0.5596157879354227,0.09531017980432487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.5625,0.421875,0.010000000000000002,0.0010000000000000002,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.04,1.3333333333333333,10.0,0.0,0.0,0.0,0.0,,0.7425742574257426,0.4,0,0,1,0,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
34,0.0,0.0,0.0,0.0,25,0.1,0.05,0.0,0.0,0.0,0.0,3.258096538021482,0.09531017980432487,0.048790164169432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,15625,0.010000000000000002,0.0010000000000000002,0.0025000000000000005,0.00012500000000000003,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.04,10.0,20.0,0.0,0.0,0.0,0.0,,0.09900990099009901,0.2,0,0,1,0,0,1,1,0,0,0,1,0,0.8596491228070176,0.9298245614035088,0.4473684210526316,0.6578947368421053,0.6140350877192983,0.6140350877192983,0.4649122807017544,0.8333333333333334,0.631578947368421,0.543859649122807,0.3333333333333333,0.7894736842105263
