ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000
511,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,83.0,25.0,Histidine,6.0,15.0,,0.0,Sucrose,0.25,,0.0,,0.0,0.9,0.9,4.15,4.24,4.22,3.89,1.72,4.426537,4.228172,3.9539087,3.6184912,2.251951
510,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,242.0,25.6,Histidine,6.0,15.0,,0.0,Sucrose,0.25,,0.0,,0.0,0.9,0.9,29.38,30.34,31.3,28.06,6.11,29.030005,26.7513,25.023777,22.67403,9.166228
630,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,206.0,25.3,Histidine,6.0,15.0,NaCl,70.0,Sucrose,0.2,tween-80,0.05,,0.0,1.0,1.0,36.4,38.0,39.6,40.86,6.36,44.657055,42.163563,40.85632,39.873077,9.420513
