ID,Protein_conc,Buffer_pH,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,shear_col,shear_label,actual_cP,pred_cP,log10_error,fold_error,pct_error
267,150.0,5.0,none,0.0,none,0.0,tween-80,Viscosity_100,1000,2.58,0.6979601979255676,-0.5677890488331321,0.27052720849828205,72.9472791501718
267,150.0,5.0,none,0.0,none,0.0,tween-80,Viscosity_1000,1 0000,2.53,0.667555570602417,-0.5786330968299297,0.26385595675984863,73.61440432401514
267,150.0,5.0,none,0.0,none,0.0,tween-80,Viscosity_10000,10 0000,2.53,0.646623969078064,-0.5924687221600939,0.2555825964735431,74.4417403526457
267,150.0,5.0,none,0.0,none,0.0,tween-80,Viscosity_100000,100 0000,2.31,0.618276059627533,-0.5724295494582049,0.2676519738647329,73.23480261352671
267,150.0,5.0,none,0.0,none,0.0,tween-80,Viscosity_15000000,15 000 0000,2.2,0.5555639266967773,-0.5976886420020227,0.2525290575894442,74.74709424105558
269,100.0,5.0,none,0.0,none,0.0,none,Viscosity_100,1000,3.04,1.0448181629180908,-0.46383286992034745,0.3436901851704246,65.63098148295754
269,100.0,5.0,none,0.0,none,0.0,none,Viscosity_1000,1 0000,3.04,0.9822329878807068,-0.4906590679711976,0.32310295653970617,67.68970434602937
269,100.0,5.0,none,0.0,none,0.0,none,Viscosity_10000,10 0000,3.04,0.9119292497634888,-0.5229124378562197,0.29997672689588445,70.00232731041154
269,100.0,5.0,none,0.0,none,0.0,none,Viscosity_100000,100 0000,2.52,0.8449682593345642,-0.4745601455061189,0.33530486481530325,66.46951351846967
269,100.0,5.0,none,0.0,none,0.0,none,Viscosity_15000000,15 000 0000,1.8,0.7280842661857605,-0.3930908590023122,0.40449125899208915,59.550874100791084
270,70.0,5.0,none,0.0,Sucrose,0.75,tween-80,Viscosity_100,1000,3.85,0.9655365347862244,-0.6006920178810631,0.25078871033408423,74.92112896659158
270,70.0,5.0,none,0.0,Sucrose,0.75,tween-80,Viscosity_1000,1 0000,3.4,0.9596611857414246,-0.5493609872683988,0.2822532899239484,71.77467100760516
270,70.0,5.0,none,0.0,Sucrose,0.75,tween-80,Viscosity_10000,10 0000,3.4,0.9281964302062988,-0.5638390232293229,0.27299895006067615,72.70010499393238
270,70.0,5.0,none,0.0,Sucrose,0.75,tween-80,Viscosity_100000,100 0000,3.11,0.8891130685806274,-0.5438033952802869,0.28588844648894773,71.41115535110522
270,70.0,5.0,none,0.0,Sucrose,0.75,tween-80,Viscosity_15000000,15 000 0000,2.7,0.7987917065620422,-0.5289302169901656,0.2958487802081638,70.41512197918362
271,70.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_100,1000,3.59,0.851412296295166,-0.6249545305096046,0.23716219952511589,76.28378004748842
271,70.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_1000,1 0000,3.13,0.8167089819908142,-0.5834770056537992,0.2609293872175125,73.90706127824875
271,70.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_10000,10 0000,3.13,0.7874912619590759,-0.5992985940105373,0.25159465238309137,74.84053476169088
271,70.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_100000,100 0000,2.52,0.731738269329071,-0.5370447718984537,0.2903723290988377,70.96276709011623
271,70.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_15000000,15 000 0000,2.4,0.6410699486732483,-0.5733058226991502,0.26711247861385345,73.28875213861465
272,55.0,5.0,none,0.0,none,0.0,tween-20,Viscosity_100,1000,1.2,0.7999815344810486,-0.176101283512606,0.6666512787342072,33.334872126579285
272,55.0,5.0,none,0.0,none,0.0,tween-20,Viscosity_1000,1 0000,1.2,0.7768526077270508,-0.18884261813847297,0.6473771731058757,35.26228268941243
272,55.0,5.0,none,0.0,none,0.0,tween-20,Viscosity_10000,10 0000,1.2,0.751358687877655,-0.2033339335741921,0.6261322398980459,37.38677601019541
272,55.0,5.0,none,0.0,none,0.0,tween-20,Viscosity_100000,100 0000,1.01,0.6838814616203308,-0.1693405425676942,0.6771103580399315,32.28896419600685
272,55.0,5.0,none,0.0,none,0.0,tween-20,Viscosity_15000000,15 000 0000,0.96,0.5786418318748474,-0.2198614060509538,0.6027519082029661,39.72480917970339
273,55.0,5.0,none,0.0,Trehalose,0.25,tween-80,Viscosity_100,1000,1.7,0.7673752307891846,-0.34544114437522166,0.4513971945818733,54.86028054181267
273,55.0,5.0,none,0.0,Trehalose,0.25,tween-80,Viscosity_1000,1 0000,1.7,0.7442757487297058,-0.3587150530843132,0.4378092639586505,56.21907360413495
273,55.0,5.0,none,0.0,Trehalose,0.25,tween-80,Viscosity_10000,10 0000,1.7,0.7310910224914551,-0.3664774704055799,0.4300535426420324,56.99464573579676
273,55.0,5.0,none,0.0,Trehalose,0.25,tween-80,Viscosity_100000,100 0000,1.43,0.7096784114837646,-0.304274443333932,0.4962786094292061,50.37213905707939
273,55.0,5.0,none,0.0,Trehalose,0.25,tween-80,Viscosity_15000000,15 000 0000,1.2,0.6447250247001648,-0.26980671857225624,0.5372708539168041,46.272914608319596
274,40.0,5.0,NaCl,140.0,none,0.0,none,Viscosity_100,1000,1.33,1.0120981931686401,-0.1186289914252128,0.7609760850892031,23.902391491079694
274,40.0,5.0,NaCl,140.0,none,0.0,none,Viscosity_1000,1 0000,1.33,0.9646244645118713,-0.13949336879717103,0.7252815522645649,27.471844773543513
274,40.0,5.0,NaCl,140.0,none,0.0,none,Viscosity_10000,10 0000,1.33,0.9212309122085571,-0.15948313853512125,0.6926548212094414,30.734517879055858
274,40.0,5.0,NaCl,140.0,none,0.0,none,Viscosity_100000,100 0000,1.18,0.8724755048751831,-0.13112876450800204,0.7393860210806636,26.06139789193363
274,40.0,5.0,NaCl,140.0,none,0.0,none,Viscosity_15000000,15 000 0000,1.05,0.7578908801078796,-0.141582617947686,0.7218008381979806,27.819916180201943
275,40.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_100,1000,1.84,0.8933323621749878,-0.3138047558298203,0.4855067185733629,51.44932814266371
275,40.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_1000,1 0000,1.84,0.8575317859649658,-0.3315675960867521,0.4660498836766118,53.39501163233882
275,40.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_10000,10 0000,1.84,0.8295230269432068,-0.3459893767895239,0.4508277320343515,54.917226796564854
275,40.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_100000,100 0000,1.68,0.7762014269828796,-0.3353348449062255,0.46202465891838074,53.797534108161926
275,40.0,5.0,none,0.0,Trehalose,0.5,none,Viscosity_15000000,15 000 0000,1.6,0.6857797503471375,-0.36793532550245334,0.4286123439669609,57.13876560330391
276,25.0,5.0,none,0.0,none,0.0,none,Viscosity_100,1000,0.92,0.8338034749031067,-0.042724126615123544,0.9063081248946812,9.369187510531885
276,25.0,5.0,none,0.0,none,0.0,none,Viscosity_1000,1 0000,0.92,0.8323590755462646,-0.043477108162227975,0.9047381255937659,9.526187440623412
276,25.0,5.0,none,0.0,none,0.0,none,Viscosity_10000,10 0000,0.92,0.8198021054267883,-0.05007879800271315,0.8910892450291177,10.891075497088229
276,25.0,5.0,none,0.0,none,0.0,none,Viscosity_100000,100 0000,0.84,0.7851966619491577,-0.029300841415296916,0.9347579308918544,6.524206910814555
276,25.0,5.0,none,0.0,none,0.0,none,Viscosity_15000000,15 000 0000,0.8,0.7196852564811707,-0.045947381198236006,0.8996065706014633,10.039342939853674
277,10.0,5.0,none,0.0,Sucrose,0.25,tween-80,Viscosity_100,1000,1.01,0.6109882593154907,-0.21828850881584272,0.6049388706093968,39.50611293906032
277,10.0,5.0,none,0.0,Sucrose,0.25,tween-80,Viscosity_1000,1 0000,1.01,0.6282711625099182,-0.2061742476179264,0.6220506559504141,37.79493440495859
277,10.0,5.0,none,0.0,Sucrose,0.25,tween-80,Viscosity_10000,10 0000,1.01,0.6400529742240906,-0.19810545376576763,0.6337158160634561,36.6284183936544
277,10.0,5.0,none,0.0,Sucrose,0.25,tween-80,Viscosity_100000,100 0000,0.92,0.6369379162788391,-0.1596907245730399,0.6923238220422164,30.767617795778364
277,10.0,5.0,none,0.0,Sucrose,0.25,tween-80,Viscosity_15000000,15 000 0000,0.88,0.6174009442329407,-0.15391538280771663,0.7015919820828871,29.840801791711286
278,10.0,5.0,none,0.0,Trehalose,0.25,none,Viscosity_100,1000,1.2,0.7107589244842529,-0.22745892453012345,0.5922991037368774,40.770089626312256
278,10.0,5.0,none,0.0,Trehalose,0.25,none,Viscosity_1000,1 0000,1.2,0.6946662664413452,-0.23740503635433785,0.5788885553677877,42.11114446322123
278,10.0,5.0,none,0.0,Trehalose,0.25,none,Viscosity_10000,10 0000,1.2,0.6863826513290405,-0.24261494808238887,0.5719855427742004,42.801445722579956
278,10.0,5.0,none,0.0,Trehalose,0.25,none,Viscosity_100000,100 0000,1.09,0.6607991456985474,-0.21735702509719404,0.6062377483472912,39.37622516527089
278,10.0,5.0,none,0.0,Trehalose,0.25,none,Viscosity_15000000,15 000 0000,1.04,0.611473560333252,-0.2306556560942898,0.5879553464742807,41.20446535257193
280,75.0,6.0,none,0.0,Sucrose,0.5,tween-80,Viscosity_100,1000,2.48,0.692234456539154,-0.5541984679652121,0.2791267969915944,72.08732030084056
280,75.0,6.0,none,0.0,Sucrose,0.5,tween-80,Viscosity_1000,1 0000,2.12,0.698228657245636,-0.48233819143162837,0.3293531402102056,67.06468597897943
280,75.0,6.0,none,0.0,Sucrose,0.5,tween-80,Viscosity_10000,10 0000,1.75,0.6973685026168823,-0.39957572057119206,0.398496287209647,60.1503712790353
280,75.0,6.0,none,0.0,Sucrose,0.5,tween-80,Viscosity_100000,100 0000,1.6,0.6797721982002258,-0.37175658412576307,0.42485762387514114,57.514237612485886
280,75.0,6.0,none,0.0,Sucrose,0.5,tween-80,Viscosity_15000000,15 000 0000,1.52,0.6250782012939453,-0.38590923417526846,0.41123565874601664,58.87643412539833
281,55.0,6.0,none,0.0,Sucrose,0.5,none,Viscosity_100,1000,2.21,0.6634481549263,-0.5225852830470603,0.3002027850345249,69.97972149654751
281,55.0,6.0,none,0.0,Sucrose,0.5,none,Viscosity_1000,1 0000,1.93,0.669770359992981,-0.45963138463987263,0.3470312746077622,65.29687253922378
281,55.0,6.0,none,0.0,Sucrose,0.5,none,Viscosity_10000,10 0000,1.56,0.6677552461624146,-0.36850728964991253,0.4280482347194965,57.195176528050354
281,55.0,6.0,none,0.0,Sucrose,0.5,none,Viscosity_100000,100 0000,1.26,0.6444058418273926,-0.2912110762786678,0.511433207799518,48.85667922004821
281,55.0,6.0,none,0.0,Sucrose,0.5,none,Viscosity_15000000,15 000 0000,1.2,0.616055428981781,-0.28956145690601964,0.5133795241514842,48.66204758485158
282,40.0,6.0,none,0.0,none,0.0,none,Viscosity_100,1000,1.29,0.95648592710495,-0.12991112571703844,0.7414619589960852,25.853804100391482
282,40.0,6.0,none,0.0,none,0.0,none,Viscosity_1000,1 0000,1.29,0.9286496639251709,-0.14273780440017791,0.7198834604071092,28.011653959289077
282,40.0,6.0,none,0.0,none,0.0,none,Viscosity_10000,10 0000,1.29,0.9007009863853455,-0.15600907194599015,0.6982178189033685,30.178218109663145
282,40.0,6.0,none,0.0,none,0.0,none,Viscosity_100000,100 0000,1.09,0.8572640419006348,-0.10431189039450989,0.7864807723859034,21.35192276140966
282,40.0,6.0,none,0.0,none,0.0,none,Viscosity_15000000,15 000 0000,1.04,0.7733020186424255,-0.12868419542860401,0.7435596333100245,25.64403666899755
283,30.0,6.0,none,0.0,none,0.0,tween-20,Viscosity_100,1000,1.01,0.8383629322052002,-0.08088930583027956,0.8300623091140595,16.99376908859404
283,30.0,6.0,none,0.0,none,0.0,tween-20,Viscosity_1000,1 0000,1.01,0.8276722431182861,-0.08646298287362666,0.8194774684339466,18.05225315660533
283,30.0,6.0,none,0.0,none,0.0,tween-20,Viscosity_10000,10 0000,1.01,0.8119286298751831,-0.09480351820357343,0.8038897325496862,19.611026745031378
283,30.0,6.0,none,0.0,none,0.0,tween-20,Viscosity_100000,100 0000,0.92,0.7312335968017578,-0.09973169033857737,0.7948191269584324,20.51808730415676
283,30.0,6.0,none,0.0,none,0.0,tween-20,Viscosity_15000000,15 000 0000,0.88,0.6131998300552368,-0.15688064633000182,0.6968179886991327,30.318201130086724
284,25.0,6.0,none,0.0,Sucrose,0.25,none,Viscosity_100,1000,1.15,0.5981015563011169,-0.2839229078761177,0.5200883098270582,47.991169017294176
284,25.0,6.0,none,0.0,Sucrose,0.25,none,Viscosity_1000,1 0000,1.15,0.6015112400054932,-0.2814540932550487,0.5230532521786897,47.694674782131024
284,25.0,6.0,none,0.0,Sucrose,0.25,none,Viscosity_10000,10 0000,1.15,0.6046379208564758,-0.2792024591686588,0.5257721050925878,47.42278949074123
284,25.0,6.0,none,0.0,Sucrose,0.25,none,Viscosity_100000,100 0000,1.15,0.5969942808151245,-0.2847276697306576,0.5191254615783691,48.08745384216308
284,25.0,6.0,none,0.0,Sucrose,0.25,none,Viscosity_15000000,15 000 0000,1.15,0.575109601020813,-0.30094722247670946,0.5000953052354896,49.99046947645104
285,25.0,6.0,NaCl,140.0,none,0.0,none,Viscosity_100,1000,1.2,0.9881361722946167,-0.08436444842247542,0.8234468102455139,17.655318975448605
285,25.0,6.0,NaCl,140.0,none,0.0,none,Viscosity_1000,1 0000,1.2,0.9384342432022095,-0.10677739936723202,0.7820285360018413,21.797146399815876
285,25.0,6.0,NaCl,140.0,none,0.0,none,Viscosity_10000,10 0000,1.2,0.8908485174179077,-0.12937738448279246,0.7423737645149231,25.76262354850769
285,25.0,6.0,NaCl,140.0,none,0.0,none,Viscosity_100000,100 0000,1.2,0.8374119400978088,-0.15624209713317844,0.6978432834148407,30.21567165851593
285,25.0,6.0,NaCl,140.0,none,0.0,none,Viscosity_15000000,15 000 0000,1.2,0.7324292659759521,-0.21441555678889745,0.6103577216466268,38.96422783533732
286,10.0,6.0,none,0.0,none,0.0,none,Viscosity_100,1000,0.8,0.7384423017501831,-0.03477341965330656,0.9230528771877289,7.694712281227117
286,10.0,6.0,none,0.0,none,0.0,none,Viscosity_1000,1 0000,0.8,0.7184967994689941,-0.04666514907430987,0.8981209993362427,10.187900066375738
286,10.0,6.0,none,0.0,none,0.0,none,Viscosity_10000,10 0000,0.8,0.7001607418060303,-0.057892230884252036,0.8752009272575378,12.479907274246221
286,10.0,6.0,none,0.0,none,0.0,none,Viscosity_100000,100 0000,0.8,0.6876029968261719,-0.06575222615809016,0.8595037460327148,14.049625396728521
286,10.0,6.0,none,0.0,none,0.0,none,Viscosity_15000000,15 000 0000,0.8,0.6280620694160461,-0.10508742116425195,0.7850775867700577,21.49224132299424
287,80.0,7.4,NaCl,140.0,Sucrose,0.5,tween-80,Viscosity_100,1000,2.12,0.8786437511444092,-0.3825230362226213,0.4144545995964194,58.55454004035806
