rank,ID,Protein_conc,Buffer_pH,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Viscosity_100,Viscosity_1000,held_out_rmse,delta_rmse
1,263,270.0,5.0,none,0.0,none,0.0,tween-80,15.07,11.94,0.8081589079264438,
2,264,245.0,7.4,NaCl,140.0,Trehalose,0.155,none,11.94,8.73,0.7723439165856689,0.035814991340774927
3,266,150.0,7.4,NaCl,140.0,Sucrose,0.75,none,8.27,7.35,0.7319080543614203,0.040435862224248664
4,265,230.0,6.0,none,0.0,Sucrose,0.5,none,6.15,5.97,0.6940038007994492,0.037904253561971024
5,268,150.0,6.0,none,0.0,Trehalose,0.25,none,3.67,3.67,0.6576416076257311,0.03636219317371814
6,261,290.0,7.4,NaCl,140.0,none,0.0,none,15.16,15.16,0.6258101971553904,0.03183141047034066
7,260,300.0,5.0,none,0.0,none,0.0,none,24.07,24.07,0.5954442887946412,0.03036590836074926
8,262,187.5,6.0,none,0.0,Sucrose,0.75,none,4.22,4.22,0.5644269058337579,0.0310173829608833
9,279,100.0,6.0,none,0.0,Trehalose,0.25,tween-80,2.94,2.94,0.5333295634388924,0.0310973423948655
10,259,304.0,6.0,none,0.0,none,0.0,none,14.15,14.15,0.5071129205947121,0.026216642844180238
