Protein,Buffer,Buffer_pH,Buffer_Conc_mM,Temperature_C,Protein_Conc_mgmL,Shear_Rate_s-1,Viscosity_Pred_cP
Adalimumab,Histidine,6.0000,15.0000,25.0000,162.1879,1000,10.8463
Adalimumab,Histidine,6.0000,15.0000,25.0000,164.3960,1000,11.0628
Adalimumab,Histidine,6.0000,15.0000,25.0000,166.6040,1000,11.2749
Adalimumab,Histidine,6.0000,15.0000,25.0000,168.8121,1000,11.4957
Adalimumab,Histidine,6.0000,15.0000,25.0000,171.0201,1000,11.7764
Adalimumab,Histidine,6.0000,15.0000,25.0000,173.2282,1000,12.2312
Adalimumab,Histidine,6.0000,15.0000,25.0000,175.4362,1000,12.6571
Adalimumab,Histidine,6.0000,15.0000,25.0000,177.6443,1000,13.2678
Adalimumab,Histidine,6.0000,15.0000,25.0000,179.8523,1000,13.5455
Adalimumab,Histidine,6.0000,15.0000,25.0000,182.0604,1000,13.7296
Adalimumab,Histidine,6.0000,15.0000,25.0000,184.2685,1000,13.9157
Adalimumab,Histidine,6.0000,15.0000,25.0000,186.4765,1000,14.1531
Adalimumab,Histidine,6.0000,15.0000,25.0000,188.6846,1000,14.3950
Adalimumab,Histidine,6.0000,15.0000,25.0000,190.8926,1000,14.6394
Adalimumab,Histidine,6.0000,15.0000,25.0000,193.1007,1000,14.9828
Adalimumab,Histidine,6.0000,15.0000,25.0000,195.3087,1000,15.3519
Adalimumab,Histidine,6.0000,15.0000,25.0000,197.5168,1000,15.7067
Adalimumab,Histidine,6.0000,15.0000,25.0000,199.7248,1000,16.0900
Adalimumab,Histidine,6.0000,15.0000,25.0000,201.9329,1000,16.5056
Adalimumab,Histidine,6.0000,15.0000,25.0000,204.1409,1000,16.7617
Adalimumab,Histidine,6.0000,15.0000,25.0000,206.3490,1000,17.0236
Adalimumab,Histidine,6.0000,15.0000,25.0000,208.5570,1000,17.3102
Adalimumab,Histidine,6.0000,15.0000,25.0000,210.7651,1000,17.5781
Adalimumab,Histidine,6.0000,15.0000,25.0000,212.9732,1000,17.8709
Adalimumab,Histidine,6.0000,15.0000,25.0000,215.1812,1000,18.2037
Adalimumab,Histidine,6.0000,15.0000,25.0000,217.3893,1000,18.5432
Adalimumab,Histidine,6.0000,15.0000,25.0000,219.5973,1000,18.8897
Adalimumab,Histidine,6.0000,15.0000,25.0000,221.8054,1000,19.2302
Adalimumab,Histidine,6.0000,15.0000,25.0000,224.0134,1000,19.5831
Adalimumab,Histidine,6.0000,15.0000,25.0000,226.2215,1000,19.9574
Adalimumab,Histidine,6.0000,15.0000,25.0000,228.4295,1000,20.3512
Adalimumab,Histidine,6.0000,15.0000,25.0000,230.6376,1000,20.7536
Adalimumab,Histidine,6.0000,15.0000,25.0000,232.8456,1000,21.1649
Adalimumab,Histidine,6.0000,15.0000,25.0000,235.0537,1000,21.6061
Adalimumab,Histidine,6.0000,15.0000,25.0000,237.2617,1000,21.9943
Adalimumab,Histidine,6.0000,15.0000,25.0000,239.4698,1000,22.3611
Adalimumab,Histidine,6.0000,15.0000,25.0000,241.6779,1000,22.7202
Adalimumab,Histidine,6.0000,15.0000,25.0000,243.8859,1000,23.0857
Adalimumab,Histidine,6.0000,15.0000,25.0000,246.0940,1000,23.4577
Adalimumab,Histidine,6.0000,15.0000,25.0000,248.3020,1000,23.8365
Adalimumab,Histidine,6.0000,15.0000,25.0000,250.5101,1000,24.2101
Adalimumab,Histidine,6.0000,15.0000,25.0000,252.7181,1000,24.5894
Adalimumab,Histidine,6.0000,15.0000,25.0000,254.9262,1000,24.9753
Adalimumab,Histidine,6.0000,15.0000,25.0000,257.1342,1000,25.3697
Adalimumab,Histidine,6.0000,15.0000,25.0000,259.3423,1000,25.7770
Adalimumab,Histidine,6.0000,15.0000,25.0000,261.5503,1000,26.1910
Adalimumab,Histidine,6.0000,15.0000,25.0000,263.7584,1000,26.6139
Adalimumab,Histidine,6.0000,15.0000,25.0000,265.9664,1000,27.1307
Adalimumab,Histidine,6.0000,15.0000,25.0000,268.1745,1000,27.7224
Adalimumab,Histidine,6.0000,15.0000,25.0000,270.3826,1000,28.4343
Adalimumab,Histidine,6.0000,15.0000,25.0000,272.5906,1000,29.1632
Adalimumab,Histidine,6.0000,15.0000,25.0000,274.7987,1000,29.9095
Adalimumab,Histidine,6.0000,15.0000,25.0000,277.0067,1000,30.7085
Adalimumab,Histidine,6.0000,15.0000,25.0000,279.2148,1000,31.5783
