Feature,Importance_dMSE
num__conc_sq,0.00578407965075984
num__KD_Asymptote,0.005731296291486506
num__conc_x_HCI,0.005660173021735185
num__Protein_conc,0.003819727823321009
num__Exp_Crowding,0.003703562944622844
num__log_conc,0.003382948176577554
num__Phi_Protein,0.0028503014839197606
num__Phi_Total,0.0028070362939724503
num__Temperature,0.0027324704527924614
num__conc_x_kP,0.0024157608168238354
num__Total_Solute_Mass,0.002041518038581793
num__Crowding_Index,0.0017511387899505695
cat__Buffer_type_acetate,0.001313509781486485
num__Stabilizer_Squared,0.0009736505410287474
num__Buffer_conc,0.000873692191801962
num__Phi_Stabilizer,0.0006487849772732904
num__arginine_low,0.0006021737034816455
num__Excipient_conc,0.0005835968478901075
num__Buffer_pH,0.0005297368017283637
cat__Buffer_type_histidine,0.000517677806752834
num__prior_nacl,0.0005152844565786798
num__proline_high,0.0005023914738075284
cat__Excipient_type_lysine,0.0004661393051390728
cat__Salt_type_nacl,0.0004602377184000882
num__Stabilizer_conc,0.0004593529329929161
num__trehalose_high,0.00044650795261877603
cat__Protein_type_none,0.00044246153639838394
num__lysine_high,0.0004199282537336148
cat__Stabilizer_type_sucrose,0.00039203105734683316
num__prior_stabilizer,0.00038135046851416575
num__PI_range,0.00037925730827357857
num__lysine_low,0.00036621543729480066
num__nacl_low,0.00036166582473833985
num__arginine_high,0.0003362665035708118
cat__Protein_class_type_unknown,0.00033013093687044807
num__Salt_conc,0.00030815031958595675
num__prior_arginine,0.0003049078519216288
num__prior_proline,0.00029779513625726416
cat__Protein_type_poly-higg,0.0002751026286758069
num__prior_tween-80,0.0002677884707899267
num__tween-20_high,0.0002465884404664574
num__PI_mean,0.0002453059663493221
num__Effective_Protein_Fraction,0.00023279294537880725
num__nacl_high,0.00022860592923046753
cat__Salt_type_none,0.00022501595095515779
num__prior_lysine,0.00022215116582057805
cat__Protein_type_pembrolizumab,0.00021386837876105798
num__tween-20_low,0.00019566857458732517
num__tween-80_low,0.0001951616172558221
num__HCI,0.00018936569748292248
cat__Excipient_type_unknown,0.00017623555850632827
cat__Excipient_type_arginine,0.0001657705995019099
num__trehalose_low,0.0001619224483009529
num__proline_low,0.00016110427555268963
num__tween-80_high,0.00015958145255860062
num__Surfactant_conc,0.00015300901876821524
cat__Buffer_type_pbs,0.00014593778791459257
cat__Surfactant_type_tween-80,0.00014419492421752483
cat__Surfactant_type_tween-20,0.0001399050772835789
cat__Protein_class_type_polyclonal,0.0001318819844913586
num__MW,0.00012628530333286953
cat__Excipient_type_proline,0.00011601965414696075
cat__Protein_class_type_bispecific,0.00011478852831213471
cat__Salt_type_unknown,0.00011217399939816505
cat__Stabilizer_type_unknown,0.00010739902172669357
cat__Protein_type_bsa,0.00010585559960305402
cat__Protein_type_bevacizumab,9.372952851733393e-05
num__kP,8.42725759345065e-05
cat__Protein_class_type_mab_igg1,7.676405323796785e-05
cat__Excipient_type_none,6.27138772883425e-05
cat__Protein_type_adalimumab,5.9784496997973384e-05
cat__Surfactant_type_unknown,5.2442550432285455e-05
cat__Protein_type_trastuzumab,5.0841330014725e-05
num__C_Class,4.972333804539701e-05
cat__Stabilizer_type_none,4.41531960025535e-05
cat__Protein_class_type_mab_igg4,4.400398122786017e-05
cat__Protein_class_type_other,4.329447376196123e-05
cat__Surfactant_type_none,3.5618523412171525e-05
cat__Protein_type_vudalimab,2.9915533607390195e-05
cat__Protein_type_nivolumab,1.8534936749380927e-05
cat__Stabilizer_type_trehalose,1.2220991000574423e-05
cat__Protein_type_ibalizumab,1.0571987303496788e-05
cat__Protein_type_bgg,1.0497615521387269e-05
cat__Protein_type_belatacept,8.0502349881122e-06
num__prior_tween-20,0.0
num__stabilizer_low,0.0
num__stabilizer_high,0.0
cat__Protein_type_etanercept,-7.038120371447628e-06
cat__Protein_class_type_fc-fusion,-7.156020819523538e-06
