Feature_Group,Importance_dMSE
conc_sq,0.00578407965075984
KD_Asymptote,0.005731296291486506
conc_x_HCI,0.005660173021735185
Protein_conc,0.003819727823321009
Exp_Crowding,0.003703562944622844
log_conc,0.003382948176577554
Phi_Protein,0.0028503014839197606
Phi_Total,0.0028070362939724503
Temperature,0.0027324704527924614
conc_x_kP,0.0024157608168238354
Total_Solute_Mass,0.002041518038581793
Buffer_type,0.0019771253761539116
Crowding_Index,0.0017511387899505695
Protein_type,0.0013121756867666549
Excipient_type,0.0009868789945826142
Stabilizer_Squared,0.0009736505410287474
Buffer_conc,0.000873692191801962
Salt_type,0.000797427668753411
Protein_class_type,0.0007337079370822071
Phi_Stabilizer,0.0006487849772732904
arginine_low,0.0006021737034816455
Excipient_conc,0.0005835968478901075
Stabilizer_type,0.0005558042660766547
Buffer_pH,0.0005297368017283637
prior_nacl,0.0005152844565786798
proline_high,0.0005023914738075284
Stabilizer_conc,0.0004593529329929161
trehalose_high,0.00044650795261877603
lysine_high,0.0004199282537336148
prior_stabilizer,0.00038135046851416575
PI_range,0.00037925730827357857
Surfactant_type,0.0003721610753455607
lysine_low,0.00036621543729480066
nacl_low,0.00036166582473833985
arginine_high,0.0003362665035708118
Salt_conc,0.00030815031958595675
prior_arginine,0.0003049078519216288
prior_proline,0.00029779513625726416
prior_tween-80,0.0002677884707899267
tween-20_high,0.0002465884404664574
PI_mean,0.0002453059663493221
Effective_Protein_Fraction,0.00023279294537880725
nacl_high,0.00022860592923046753
prior_lysine,0.00022215116582057805
tween-20_low,0.00019566857458732517
tween-80_low,0.0001951616172558221
HCI,0.00018936569748292248
trehalose_low,0.0001619224483009529
proline_low,0.00016110427555268963
tween-80_high,0.00015958145255860062
Surfactant_conc,0.00015300901876821524
MW,0.00012628530333286953
kP,8.42725759345065e-05
C_Class,4.972333804539701e-05
prior_tween-20,0.0
stabilizer_low,0.0
stabilizer_high,0.0
