Feature_Group,Importance_dMSE
log_conc,0.02818527952773537
conc_x_HCI,0.02185442363402517
Phi_Protein,0.01568790346022799
Phi_Total,0.015150519992763779
conc_sq,0.01413368017425837
conc_x_kP,0.01381645525131896
Total_Solute_Mass,0.01328899384232124
Exp_Crowding,0.012133584351943727
KD_Asymptote,0.011318123665567257
Protein_conc,0.011150838565409202
Buffer_conc,0.005838120638491187
Buffer_type,0.003087141425451769
Buffer_pH,0.0029782825214262404
Temperature,0.0026221250206456556
Protein_type,0.0016228650807863032
prior_proline,0.0015931111140971089
Excipient_type,0.0011745169868046523
arginine_low,0.0010516576221708375
Salt_type,0.0010196600234577803
Protein_class_type,0.0009706181157316442
Excipient_conc,0.0009439870048888969
Crowding_Index,0.0008349552271675834
Stabilizer_Squared,0.0007903509725458377
Salt_conc,0.0005834938946211905
Stabilizer_type,0.0005286389338617029
nacl_low,0.000489989874608055
prior_nacl,0.0004422162790045196
prior_arginine,0.00042616283295853624
prior_lysine,0.00042189049380747957
trehalose_high,0.00038431912446592036
prior_tween-80,0.0003457864627118565
Stabilizer_conc,0.0003067207877450835
lysine_low,0.0002955458196611596
tween-80_high,0.00029329972748947004
Surfactant_type,0.000272841743344107
Phi_Stabilizer,0.0002723066196826437
prior_tween-20,0.00025130146836481633
nacl_high,0.00023828849698769462
Effective_Protein_Fraction,0.0002214121749282037
tween-20_high,0.0001880500403305405
proline_low,0.0001715505629123525
tween-80_low,0.00015293986520294178
arginine_high,0.00015095669485407342
prior_stabilizer,0.00014238255460358694
Surfactant_conc,0.00012615618799716524
tween-20_low,0.00011475186989144161
lysine_high,7.840412808223646e-05
trehalose_low,7.386523309131209e-05
kP,6.832107820440615e-05
PI_range,6.696986125048245e-05
MW,4.673586954845842e-05
proline_high,3.3377071778847855e-05
HCI,3.304498984988292e-05
C_Class,2.0468654522817938e-05
PI_mean,1.2629724401080032e-05
stabilizer_low,0.0
stabilizer_high,0.0
