Feature,Importance_dMSE
num__log_conc,0.02818527952773537
num__conc_x_HCI,0.02185442363402517
num__Phi_Protein,0.01568790346022799
num__Phi_Total,0.015150519992763779
num__conc_sq,0.01413368017425837
num__conc_x_kP,0.01381645525131896
num__Total_Solute_Mass,0.01328899384232124
num__Exp_Crowding,0.012133584351943727
num__KD_Asymptote,0.011318123665567257
num__Protein_conc,0.011150838565409202
num__Buffer_conc,0.005838120638491187
num__Buffer_pH,0.0029782825214262404
num__Temperature,0.0026221250206456556
cat__Buffer_type_acetate,0.002379948110296448
num__prior_proline,0.0015931111140971089
num__arginine_low,0.0010516576221708375
cat__Salt_type_nacl,0.0010202008766578554
num__Excipient_conc,0.0009439870048888969
cat__Excipient_type_arginine,0.0008766727727380543
num__Crowding_Index,0.0008349552271675834
num__Stabilizer_Squared,0.0007903509725458377
num__Salt_conc,0.0005834938946211905
num__nacl_low,0.000489989874608055
cat__Stabilizer_type_sucrose,0.00048404882196999635
num__prior_nacl,0.0004422162790045196
num__prior_arginine,0.00042616283295853624
num__prior_lysine,0.00042189049380747957
cat__Buffer_type_pbs,0.0004112654867330116
num__trehalose_high,0.00038431912446592036
num__prior_tween-80,0.0003457864627118565
num__Stabilizer_conc,0.0003067207877450835
cat__Protein_class_type_other,0.00030112997704969616
cat__Buffer_type_histidine,0.00029592782842230957
num__lysine_low,0.0002955458196611596
num__tween-80_high,0.00029329972748947004
num__Phi_Stabilizer,0.0002723066196826437
num__prior_tween-20,0.00025130146836481633
cat__Surfactant_type_tween-80,0.000247845529726262
num__nacl_high,0.00023828849698769462
cat__Protein_class_type_bispecific,0.000231751991407474
cat__Protein_type_vudalimab,0.00022901893428561772
cat__Protein_type_bsa,0.00022566642842462674
cat__Protein_type_ibalizumab,0.00022451941931650714
num__Effective_Protein_Fraction,0.0002214121749282037
cat__Excipient_type_lysine,0.00019700476670246343
cat__Protein_type_bevacizumab,0.00019358282383794782
num__tween-20_high,0.0001880500403305405
cat__Protein_class_type_unknown,0.0001734914020024049
num__proline_low,0.0001715505629123525
cat__Protein_type_poly-higg,0.00016186918959138364
num__tween-80_low,0.00015293986520294178
num__arginine_high,0.00015095669485407342
num__prior_stabilizer,0.00014238255460358694
num__Surfactant_conc,0.00012615618799716524
cat__Protein_type_etanercept,0.00012049317920681882
cat__Protein_type_none,0.0001176438579619252
cat__Protein_type_trastuzumab,0.0001158557401388519
num__tween-20_low,0.00011475186989144161
cat__Protein_class_type_polyclonal,0.00010677634452823173
cat__Excipient_type_proline,0.000103146412444962
cat__Protein_class_type_fc-fusion,8.047704743742532e-05
cat__Protein_type_belatacept,8.025792031124933e-05
num__lysine_high,7.840412808223646e-05
cat__Protein_type_adalimumab,7.448423104394492e-05
num__trehalose_low,7.386523309131209e-05
cat__Protein_class_type_mab_igg1,7.098671201792844e-05
num__kP,6.832107820440615e-05
num__PI_range,6.696986125048245e-05
cat__Protein_type_pembrolizumab,6.383906235653443e-05
cat__Stabilizer_type_trehalose,5.075183080742191e-05
num__MW,4.673586954845842e-05
cat__Surfactant_type_tween-20,3.872086510358676e-05
num__proline_high,3.3377071778847855e-05
num__HCI,3.304498984988292e-05
cat__Protein_type_bgg,3.1299675764811553e-05
num__C_Class,2.0468654522817938e-05
num__PI_mean,1.2629724401080032e-05
cat__Protein_class_type_mab_igg4,6.0046412884836795e-06
num__stabilizer_low,0.0
num__stabilizer_high,0.0
cat__Salt_type_none,-5.408532000750893e-07
cat__Excipient_type_none,-2.3069650808274153e-06
cat__Stabilizer_type_none,-6.16171891571534e-06
cat__Surfactant_type_none,-1.372465148574177e-05
cat__Protein_type_nivolumab,-1.5665381453915973e-05
