Feature_Group,Importance_dMSE
conc_x_HCI,0.00909731967047666
Protein_conc,0.008263831574857033
Phi_Protein,0.008120831650091923
conc_sq,0.006947023232114657
log_conc,0.006236080788669516
conc_x_kP,0.004448435549997277
Protein_type,0.003942742296830188
Exp_Crowding,0.003400373473900398
Temperature,0.0026788864434379566
Phi_Total,0.002587374216683685
Protein_class_type,0.0024654480492943293
KD_Asymptote,0.002097854435489743
Total_Solute_Mass,0.0019341173387354893
Buffer_type,0.0014298932499944633
Crowding_Index,0.0013587373263660128
Excipient_type,0.000895263135311593
Buffer_conc,0.0007218486861994104
Excipient_conc,0.0007048501210116286
trehalose_high,0.0006891429927074321
Stabilizer_Squared,0.0006818801983941819
arginine_low,0.0006455459195522668
Salt_type,0.0005789539216082412
prior_nacl,0.0005053175424029606
Buffer_pH,0.0004964459599403966
prior_tween-20,0.0004908854544101843
prior_arginine,0.0004828757797193375
Stabilizer_type,0.00042816829199414635
prior_lysine,0.00040666979843794046
Surfactant_conc,0.00038809213780024955
prior_proline,0.0003523789690150418
Surfactant_type,0.00033651268898368496
PI_range,0.00033648485905659947
trehalose_low,0.00030625810255297285
charge_x_ionic,0.0002925855521912152
Salt_conc,0.00029111097389322195
Effective_Protein_Fraction,0.0002576167041808122
tween-20_high,0.0002531265155547146
Phi_Stabilizer,0.00025284354402553425
Stabilizer_conc,0.0002527200755248959
arginine_high,0.00022783988367946562
lysine_high,0.00022650466847170744
tween-80_high,0.00022630741218350328
proline_low,0.0002206529912729808
nacl_low,0.0002040929280701007
MW,0.00019210481111503648
prior_stabilizer,0.00019095037230180273
PI_mean,0.0001788122223441409
lysine_low,0.00016370042030870724
tween-20_low,0.00015831789211660872
kP,0.00015707705421014314
tween-80_low,0.00015670230742677836
proline_high,0.00012002578474952985
nacl_high,9.806059532573496e-05
C_Class,9.610661213860098e-05
HCI,8.923061860290548e-05
prior_tween-80,8.486663308260051e-05
stabilizer_low,0.0
stabilizer_high,0.0
