Concept,Gate_value,Activation_type
self_interaction,0.8452578,tanh
hydrophobicity,0.8375439,sigmoid
charge_environment,0.65294206,tanh
ionic_screening,0.85827464,sigmoid
crowding,0.82344127,sigmoid
nonlinear_conc,0.8049013,sigmoid
cosolute_interaction,0.83537185,tanh
cosolute_protection,0.85892475,sigmoid
latent_0,0.018479152,tanh
