Group,Shear_rate,Concept,Concept_idx,Activation_type,Intervention_value,Baseline_log_visc,Predicted_log_visc,Delta_log_visc
adalimumab,100,self_interaction,0,tanh,-1.0,0.9775008669204919,0.760545552592611,-0.21695531432788084
adalimumab,100,self_interaction,0,tanh,-0.5,0.9775008669204919,0.8915404856794953,-0.08596038124099659
adalimumab,100,self_interaction,0,tanh,0.0,0.9775008669204919,1.0076628195967383,0.03016195267624644
adalimumab,100,self_interaction,0,tanh,0.5,0.9775008669204919,1.1187555036973222,0.14125463677683037
adalimumab,100,self_interaction,0,tanh,1.0,0.9775008669204919,1.2820497545142064,0.30454888759371457
adalimumab,100,hydrophobicity,1,sigmoid,0.0,0.9775008669204919,0.9692409426847035,-0.008259924235788363
adalimumab,100,hydrophobicity,1,sigmoid,0.25,0.9775008669204919,0.9765283229902677,-0.0009725439302241679
adalimumab,100,hydrophobicity,1,sigmoid,0.5,0.9775008669204919,0.9773291484949421,-0.00017171842554974948
adalimumab,100,hydrophobicity,1,sigmoid,0.75,0.9775008669204919,0.9778529577828048,0.00035209086231291487
adalimumab,100,hydrophobicity,1,sigmoid,1.0,0.9775008669204919,0.9811614258057915,0.003660558885299592
adalimumab,100,charge_environment,2,tanh,-1.0,0.9775008669204919,0.949377614784368,-0.028123252136123877
adalimumab,100,charge_environment,2,tanh,-0.5,0.9775008669204919,0.9701119667168858,-0.0073889002036060525
adalimumab,100,charge_environment,2,tanh,0.0,0.9775008669204919,0.9790187014151441,0.0015178344946522593
adalimumab,100,charge_environment,2,tanh,0.5,0.9775008669204919,0.9590828467507813,-0.018418020169710614
adalimumab,100,charge_environment,2,tanh,1.0,0.9775008669204919,0.9220077009137221,-0.05549316600676979
adalimumab,100,ionic_screening,3,sigmoid,0.0,0.9775008669204919,0.992805419857959,0.01530455293746713
adalimumab,100,ionic_screening,3,sigmoid,0.25,0.9775008669204919,0.9804427475141584,0.0029418805936665127
adalimumab,100,ionic_screening,3,sigmoid,0.5,0.9775008669204919,0.9651764567277923,-0.012324410192699586
adalimumab,100,ionic_screening,3,sigmoid,0.75,0.9775008669204919,0.9541024413329561,-0.023398425587535798
adalimumab,100,ionic_screening,3,sigmoid,1.0,0.9775008669204919,0.9416925013949136,-0.03580836552557831
adalimumab,100,crowding,4,sigmoid,0.0,0.9775008669204919,0.9777485385713616,0.00024767165086969634
adalimumab,100,crowding,4,sigmoid,0.25,0.9775008669204919,0.974801650072729,-0.002699216847762864
adalimumab,100,crowding,4,sigmoid,0.5,0.9775008669204919,0.9775794119562767,7.85450357848605e-05
adalimumab,100,crowding,4,sigmoid,0.75,0.9775008669204919,0.9774829878211829,-1.7879099308948376e-05
adalimumab,100,crowding,4,sigmoid,1.0,0.9775008669204919,0.9702083469229887,-0.007292519997503133
adalimumab,100,nonlinear_conc,5,sigmoid,0.0,0.9775008669204919,0.9807405421436804,0.003239675223188576
adalimumab,100,nonlinear_conc,5,sigmoid,0.25,0.9775008669204919,0.9808272140427876,0.0033263471222957364
adalimumab,100,nonlinear_conc,5,sigmoid,0.5,0.9775008669204919,0.9768884089289301,-0.0006124579915617323
adalimumab,100,nonlinear_conc,5,sigmoid,0.75,0.9775008669204919,0.9664586561150899,-0.01104221080540202
adalimumab,100,nonlinear_conc,5,sigmoid,1.0,0.9775008669204919,0.9516942101211209,-0.025806656799370997
adalimumab,100,cosolute_interaction,6,tanh,-1.0,0.9775008669204919,0.5731899382949253,-0.4043109286255666
adalimumab,100,cosolute_interaction,6,tanh,-0.5,0.9775008669204919,0.7048312700099895,-0.2726695969105024
adalimumab,100,cosolute_interaction,6,tanh,0.0,0.9775008669204919,0.908816176369033,-0.06868469055145887
adalimumab,100,cosolute_interaction,6,tanh,0.5,0.9775008669204919,0.9964846046354134,0.018983737714921567
