Feature,Importance_dMSE
num__Protein_conc,0.03588750426557596
num__conc_x_HCI,0.032814551284547196
num__Phi_Protein,0.023916328064913214
num__conc_x_kP,0.019030521232265778
num__log_conc,0.015681304253724392
num__conc_sq,0.013461085876873728
num__Buffer_conc,0.009704145382541392
num__Temperature,0.008311634024305573
num__Exp_Crowding,0.008133789246821545
num__KD_Asymptote,0.006547475496699103
cat__Stabilizer_type_trehalose,0.004429449207634572
num__Buffer_pH,0.004252032183866778
cat__Protein_type_etanercept,0.003972362578183035
cat__Protein_type_bevacizumab,0.0037768262874330787
num__Total_Solute_Mass,0.0037513252438813966
cat__Buffer_type_acetate,0.0035864336904588975
num__Crowding_Index,0.0034892422403746187
num__Phi_Total,0.0034845566381691796
cat__Protein_type_nivolumab,0.0029117907556406473
num__PI_range,0.002650905044638641
cat__Protein_type_vudalimab,0.002572506172524488
cat__Protein_type_ibalizumab,0.0024474748407072484
cat__Stabilizer_type_sucrose,0.002401510774029389
cat__Protein_class_type_bispecific,0.0023814193251752306
num__MW,0.0022149247587682436
num__PI_mean,0.0022114603196220686
num__trehalose_low,0.002192534970318024
cat__Protein_type_adalimumab,0.0021667779944801284
cat__Protein_type_trastuzumab,0.00215691573358292
num__prior_tween-80,0.002077901522022428
num__trehalose_high,0.0019945170180942565
num__Effective_Protein_Fraction,0.0019902449910946547
num__prior_stabilizer,0.0019177415144105148
num__kP,0.0018491971442868346
cat__Protein_type_pembrolizumab,0.0016556448210766446
cat__Protein_class_type_fc-fusion,0.0015775579753304209
cat__Protein_type_poly-higg,0.001545179319326284
cat__Salt_type_nacl,0.0014214009813841482
num__prior_tween-20,0.001275174922020999
cat__Protein_class_type_mab_igg1,0.0012737172022879786
cat__Stabilizer_type_none,0.0012451635637911454
num__prior_lysine,0.0012445912002526415
num__Stabilizer_Squared,0.0012442177064816169
num__prior_nacl,0.0011745609756731046
num__lysine_low,0.0011734444529621288
cat__Excipient_type_lysine,0.0011408315702032502
num__arginine_low,0.0011188417696774517
cat__Protein_type_bsa,0.0010689166730105159
cat__Excipient_type_arginine,0.0010480014203514123
cat__Protein_class_type_mab_igg4,0.0010416937314233921
num__Stabilizer_conc,0.0010325494642314421
cat__Protein_class_type_other,0.0010123288346892273
num__HCI,0.000988481090628341
cat__Buffer_type_pbs,0.0009695399694292194
num__proline_low,0.0009558935579675222
num__Phi_Stabilizer,0.0009398673338796059
cat__Protein_type_belatacept,0.0008671413875873989
num__Excipient_conc,0.000863214643471201
cat__Protein_class_type_polyclonal,0.0008463670444849806
num__prior_proline,0.0008234485460278636
cat__Excipient_type_none,0.000790289346185565
num__prior_arginine,0.0007817643614928859
num__lysine_high,0.0007696350460318739
cat__Buffer_type_histidine,0.0007585806578779509
num__C_Class,0.0007091067230924151
num__tween-20_high,0.0006830099734172843
cat__Excipient_type_proline,0.0006257260274062908
num__nacl_low,0.0005711135999202765
num__nacl_high,0.000551111774657137
num__Salt_conc,0.0005401428913352421
num__tween-80_high,0.00046486181692822256
num__proline_high,0.0004616370758051434
cat__Protein_type_bgg,0.00044455580112990646
num__tween-80_low,0.00036704522662276296
num__arginine_high,0.00033655942517521725
cat__Surfactant_type_tween-80,0.0003298936521215325
cat__Protein_class_type_unknown,0.0003160215287224396
cat__Protein_type_none,0.00029482346347515804
num__Surfactant_conc,0.00029095480038878255
cat__Salt_type_none,0.00020918652078404792
num__tween-20_low,0.00020760048012666635
cat__Surfactant_type_tween-20,0.00016561244189347481
cat__Surfactant_type_none,0.00012363069715133276
num__stabilizer_high,0.0
num__stabilizer_low,0.0
