ID,Group,Shear_Rate,Actual_Viscosity,Predicted_Viscosity,Log10_Actual,Log10_Predicted,Log10_Error
1,poly-higg,100.0,14.38,14.392627919493474,1.1577588860468637,1.1581400980877943,0.0003812120409305564
1,poly-higg,1000.0,13.23,13.35448681489479,1.121559844187501,1.1256272036459267,0.004067359458425734
1,poly-higg,10000.0,11.27,11.880275393697259,1.0519239160461065,1.0748265080337966,0.02290259198769018
1,poly-higg,100000.0,9.24,10.503510838547598,0.9656719712201067,1.021334487922792,0.05566251670268518
1,poly-higg,15000000.0,6.92,8.282573694956747,0.8401060944567578,0.91816530874605,0.07805921428929219
2,none,100.0,3.25,3.2643431946786157,0.5118833609788743,0.513795811760701,0.001912450781826669
2,none,1000.0,3.25,3.24103976354788,0.5118833609788743,0.5106843593208522,-0.0011990016580221141
2,none,10000.0,3.25,3.2126074193449203,0.5118833609788743,0.5068576580043468,-0.005025702974527535
2,none,100000.0,3.25,3.1819773214358307,0.5118833609788743,0.5026970800213186,-0.009186280957555693
2,none,15000000.0,3.25,3.2400764330067227,0.5118833609788743,0.5105552552811571,-0.0013281056977172412
3,poly-higg,100.0,4.6,5.598882246787847,0.6627578316815741,0.7481013337018005,0.08534350202022645
3,poly-higg,1000.0,4.6,5.24395974435031,0.6627578316815741,0.719659349136729,0.056901517455154926
3,poly-higg,10000.0,4.6,4.495721356720643,0.6627578316815741,0.652799385970981,-0.009958445710593122
3,poly-higg,100000.0,3.68,3.9036406425999033,0.5658478186735176,0.5914698309928103,0.02562201231929262
3,poly-higg,15000000.0,2.41,2.4774531722557804,0.3820170425748684,0.39400545438915385,0.011988411814285449
4,none,100.0,0.95,1.081375750256147,-0.022276394711152253,0.03397662633815743,0.05625302104930968
4,none,1000.0,0.95,1.0744205791159571,-0.022276394711152253,0.031174318081088975,0.05345071279224123
4,none,10000.0,0.95,1.0717499213068076,-0.022276394711152253,0.03009346029461757,0.05236985500576982
4,none,100000.0,0.95,1.0682994435656028,-0.022276394711152253,0.028693002187371884,0.05096939689852414
4,none,15000000.0,0.95,1.065241023921503,-0.022276394711152253,0.027447883376800333,0.049724278087952586
5,poly-higg,100.0,8.31,8.60531007327963,0.919601023784111,0.9347665237848058,0.015165500000694832
5,poly-higg,1000.0,8.31,8.261212566433565,0.919601023784111,0.9170437969888604,-0.002557226795250611
5,poly-higg,10000.0,8.31,8.123909176643568,0.919601023784111,0.9097650594517483,-0.009835964332362668
5,poly-higg,100000.0,6.83,6.492678582152333,0.8344207036815325,0.8124239038041055,-0.021996799877427087
5,poly-higg,15000000.0,4.6,5.0038102138158695,0.6627578316815741,0.6993008292676703,0.03654299758609625
6,poly-higg,100.0,8.84,9.601317845118524,0.9464522650130731,0.9823308469544563,0.03587858194138316
6,poly-higg,1000.0,8.84,9.039827226924134,0.9464522650130731,0.9561601301312803,0.009707865118207204
6,poly-higg,10000.0,8.84,7.884570301906834,0.9464522650130731,0.8967780298658352,-0.0496742351472379
6,poly-higg,100000.0,6.93,6.518418946326271,0.8407332346118067,0.814142269634901,-0.026590964976905718
6,poly-higg,15000000.0,4.16,4.308294304477617,0.6190933306267428,0.634305362788651,0.015212032161908251
7,poly-higg,100.0,2.44,2.7702186016056816,0.3873898263387294,0.4425140411673957,0.05512421482866625
7,poly-higg,1000.0,2.44,2.523121516774157,0.3873898263387294,0.40193816720153075,0.014548340862801323
7,poly-higg,10000.0,2.44,2.4475352122555933,0.3873898263387294,0.3887289486379104,0.0013391222991809837
7,poly-higg,100000.0,2.23,2.4251408437992543,0.34830486304816066,0.3847369659933704,0.03643210294520971
7,poly-higg,15000000.0,2.0,1.9522276204352187,0.3010299956639812,0.2905304529494178,-0.010499542714563381
8,poly-higg,100.0,1.84,1.8065191915753083,0.2648178230095365,0.25684257966046664,-0.00797524334906985
8,poly-higg,1000.0,1.84,1.79825572899695,0.2648178230095365,0.2548514525778837,-0.009966370431652771
8,poly-higg,10000.0,1.84,1.7930714758693171,0.2648178230095365,0.2535976018638738,-0.011220221145662679
8,poly-higg,100000.0,1.68,1.774354412408447,0.22530928172586284,0.2490403708396947,0.02373108911383187
8,poly-higg,15000000.0,1.2,1.5631732211266227,0.07918124604762482,0.19400710649716754,0.11482586044954272
9,poly-higg,100.0,6.15,5.8066017407293495,0.7888751157754168,0.7639220399587645,-0.024953075816652293
9,poly-higg,1000.0,5.35,5.560878235480926,0.7283537820212285,0.7451433855934106,0.016789603572182177
9,poly-higg,10000.0,5.35,5.192110636082909,0.7283537820212285,0.7153439380543276,-0.013009843966900858
9,poly-higg,100000.0,4.62,4.262901160065026,0.6646419755561255,0.6297052631805627,-0.03493671237556273
9,poly-higg,15000000.0,3.26,3.2777420370721093,0.5132176000679389,0.5155747709902654,0.002357170922326457
10,poly-higg,100.0,3.57,4.137891698481724,0.5526682161121932,0.616779119638733,0.06411090352653981
10,poly-higg,1000.0,3.57,3.785323114233693,0.5526682161121932,0.5781029566866648,0.025434740574471593
10,poly-higg,10000.0,3.34,3.5717710099817235,0.5237464668115644,0.5528836080302899,0.02913714121872546
10,poly-higg,100000.0,2.89,3.22581969718875,0.4608978427565479,0.5086400894310211,0.04774224667447324
10,poly-higg,15000000.0,2.58,2.546888817913213,0.41161970596323016,0.40600998665160176,-0.005609719311628403
11,poly-higg,100.0,14.72,14.392627919493474,1.1679078100014801,1.1581400980877943,-0.009767711913685861
11,poly-higg,1000.0,14.49,13.35448681489479,1.1610683854711745,1.1256272036459267,-0.0354411818252478
11,poly-higg,10000.0,14.49,11.880275393697259,1.1610683854711745,1.0748265080337966,-0.08624187743737788
11,poly-higg,100000.0,11.55,10.503510838547598,1.0625819842281632,1.021334487922792,-0.04124749630537128
11,poly-higg,15000000.0,6.92,8.282573694956747,0.8401060944567578,0.91816530874605,0.07805921428929219
12,poly-higg,100.0,4.14,4.048904354103338,0.617000341120899,0.6073375176980854,-0.009662823422813549
12,poly-higg,1000.0,4.14,3.7620682132912155,0.617000341120899,0.5754266658521566,-0.04157367526874234
12,poly-higg,10000.0,4.14,3.4444131438701957,0.617000341120899,0.537115237828626,-0.07988510329227294
12,poly-higg,100000.0,3.15,3.1946444103038747,0.4983105537896005,0.5044225247049923,0.0061119709153917845
12,poly-higg,15000000.0,2.25,2.488738917644083,0.3521825181113625,0.3959793391261792,0.043796821014816745
13,poly-higg,100.0,17.25,10.907360901610998,1.236789099409293,1.0377196832634439,-0.19906941614584905
13,poly-higg,1000.0,17.25,8.975695667138208,1.236789099409293,0.9530681188315142,-0.2837209805777787
13,poly-higg,10000.0,17.25,7.649298591601199,1.236789099409293,0.8836216140081514,-0.3531674854011415
13,poly-higg,100000.0,14.7,6.67399048728505,1.167317334748176,0.82438558330131,-0.34293175144686605
13,poly-higg,15000000.0,13.0,5.3450006266898,1.1139433523068367,0.7279477604648915,-0.3859955918419452
14,none,100.0,1.15,1.2713138798946544,0.06069784035361165,0.10425278853748411,0.04355494818387246
14,none,1000.0,1.15,1.26667729673092,0.06069784035361165,0.10266598654889203,0.04196814619528038
14,none,10000.0,1.15,1.2675608558888263,0.06069784035361165,0.10296881908407826,0.04227097873046661
14,none,100000.0,1.15,1.2742600418285244,0.06069784035361165,0.10525806473948406,0.044560224385872406
14,none,15000000.0,1.15,1.256966743054255,0.06069784035361165,0.09932378723321987,0.03862594687960822
15,none,100.0,1.25,1.3809677201669877,0.09691001300805642,0.14018352715415786,0.043273514146101436
15,none,1000.0,1.25,1.377504881448382,0.09691001300805642,0.1390931465309658,0.04218313352290938
15,none,10000.0,1.25,1.3844070921589322,0.09691001300805642,0.14126381546866593,0.04435380246060951
15,none,100000.0,1.25,1.3913440902234029,0.09691001300805642,0.14343454768102862,0.0465245346729722
15,none,15000000.0,1.25,1.372504307235223,0.09691001300805642,0.13751371604056623,0.040603703032509805
16,none,100.0,1.5,1.6680723663677017,0.17609125905568124,0.2222148878079714,0.046123628752290174
16,none,1000.0,1.5,1.6793979404104094,0.17609125905568124,0.22515361623759766,0.04906235718191643
16,none,10000.0,1.5,1.6848997627567857,0.17609125905568124,0.22657406913822378,0.050482810082542545
16,none,100000.0,1.5,1.6913466384564257,0.17609125905568124,0.2282326245942001,0.05214136553851886
16,none,15000000.0,1.5,1.6643414124778668,0.17609125905568124,0.22124241951852755,0.04515116046284631
17,none,100.0,1.65,1.8309859593655515,0.21748394421390627,0.26268501399397215,0.04520106978006588
17,none,1000.0,1.65,1.847599438604689,0.21748394421390627,0.2666078216136286,0.04912387739972235
17,none,10000.0,1.65,1.8626518259480689,0.21748394421390627,0.270131682485615,0.05264773827170871
17,none,100000.0,1.65,1.8755608318058434,0.21748394421390627,0.2731311545913338,0.055647210377427536
17,none,15000000.0,1.65,1.8487746769001332,0.21748394421390627,0.2668839838785305,0.04940003966462425
18,none,100.0,2.25,2.434090689166874,0.3521825181113625,0.3863367551064603,0.03415423699509784
18,none,1000.0,2.25,2.439633027879801,0.3521825181113625,0.38732450422692116,0.03514198611555869
18,none,10000.0,2.25,2.445188431618166,0.3521825181113625,0.38831233244071023,0.036129814329347754
18,none,100000.0,2.25,2.450343308708226,0.3521825181113625,0.3892269360512095,0.03704441793984703
18,none,15000000.0,2.25,2.468704439977068,0.3521825181113625,0.3924690981253168,0.0402865800139543
19,poly-higg,100.0,27.03,27.990918732513617,1.4318460456987254,1.44701715333979,0.015171107641064552
19,poly-higg,1000.0,24.15,24.17750606932303,1.382917135087531,1.3834115009833674,0.0004943658958365127
19,poly-higg,10000.0,21.85,19.906684113017015,1.3394514413064407,1.2989989249520644,-0.0404525163543763
19,poly-higg,100000.0,14.7,13.095335666799238,1.167317334748176,1.1171166349773882,-0.05020069977078778
19,poly-higg,15000000.0,6.5,6.46421453540194,0.8129133566428556,0.8105157614415177,-0.0023975952013378654
20,poly-higg,100.0,76.59,49.00518643099928,1.8841720695239128,1.6902420457257974,-0.19393002379811541
20,poly-higg,1000.0,56.35,44.21502560318481,1.7508939203821254,1.6455698808341022,-0.10532403954802327
