ID,Protein_type,Protein_class_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
F28,BSA,other,66,4.7,0.3,177,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,4.4,4,4,3.8,3,
F29,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.1,none,0,1,1,1,1,1,
F30,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.05,none,0,0.97,0.97,0.97,0.97,0.97,
F31,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0,1.2,1.2,1.2,1.2,1.2,
F32,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0,1.3,1.3,1.3,1.3,1.3,
F33,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0,1.55,1.55,1.55,1.55,1.55,
F34,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,2.32,2.32,2.32,2.32,2.32,
F35,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0,1.17,1.17,1.17,1.17,1.17,
F36,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0,1.27,1.27,1.27,1.27,1.27,
F37,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0,1.52,1.52,1.52,1.52,1.52,
F38,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.05,none,0,2.29,2.29,2.29,2.29,2.29,
F39,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,none,0,1.07,1.07,1.07,1.07,1.07,
F40,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.05,none,0,1,1,1,1,1,
F41,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.1,none,0,1.27,1.27,1.27,1.27,1.27,
F42,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.1,none,0,1.38,1.38,1.38,1.38,1.38,
F43,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.1,none,0,1.64,1.64,1.64,1.64,1.64,
F44,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,2.42,2.42,2.42,2.42,2.42,
F45,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,none,0,1.2,1.2,1.2,1.2,1.2,
F46,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.05,none,0,1.3,1.3,1.3,1.3,1.3,
F47,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.05,none,0,1.55,1.55,1.55,1.55,1.55,
F48,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.05,none,0,2.32,2.32,2.32,2.32,2.32,
F49,BGG,polyclonal,150,6.6,1,85,25,PBS,7.4,10,NaCl,140,Sucrose,0.22,none,0,none,0,3,3,3,3,2.95,
F50,BGG,polyclonal,150,6.6,1,43.6,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.15,none,0,1.35,1.35,1.35,1.35,1.3,
F51,BGG,polyclonal,150,6.6,1,64,25,PBS,7.4,10,NaCl,140,Sucrose,0.704,tween-80,0.037,none,0,3.15,3.15,3.15,3.15,3.15,
F52,BGG,polyclonal,150,6.6,1,85.7,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.0624,none,0,2.38,2.38,2.38,2.3,2,
F53,poly-hIgG,polyclonal,150,7.6,1,86.4,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.003,none,0,2.2,2.2,2.2,2,1.75,
F54,poly-hIgG,polyclonal,150,7.6,1,141,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1067,none,0,5.1,3.15,3.1,3.05,2.75,
F55,poly-hIgG,polyclonal,150,7.6,1,75,25,PBS,7.4,10,NaCl,140,Sucrose,0.28,tween-20,0.228,none,0,2.5,2.18,2,1.9,1.73,
F56,BSA,other,66,4.7,0.3,132,25,PBS,7.4,10,NaCl,140,Sucrose,0.46,tween-20,0.123,none,0,3.05,3.05,3.05,3.05,3.05,
F57,BSA,other,66,4.7,0.3,83,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.218,none,0,1.95,1.93,1.6,1.55,1.47,
F58,poly-hIgG,polyclonal,150,7.6,1,51.7,25,Histidine,6,100,NaCl,140,Sucrose,1.01,none,0,none,0,5.5,5.5,5.5,5.5,5.5,
F59,poly-hIgG,polyclonal,150,7.6,1,118.7,25,Histidine,6,100,NaCl,140,Sucrose,0.53,none,0,none,0,5.5,4.5,4.4,4.2,3.88,
F60,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Trehalose,0.5,none,0,none,0,1.38,1.38,1.38,1.38,1.38,
F61,none,none,NaN,none,none,0,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,3.05,3.05,3.05,3.05,3.05,
F62,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.98,0.98,0.98,0.98,0.98,
F63,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,1,none,0,none,0,3.3,3.3,3.3,3.3,3.3,
F64,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,none,0,1.04,1.04,1.04,1.04,1.04,
F65,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.05,none,0,1.01,1.01,1.01,1.01,1.01,
F66,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,none,0,1.11,1.11,1.11,1.11,1.11,
F67,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.05,none,0,1.04,1.04,1.04,1.04,1.04,
