ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,VH_pI,VL_pI,VH_Charge_at_Buffer_pH,VL_Charge_at_Buffer_pH,Fv_Charge_at_Buffer_pH,Whole_Antibody_Charge_at_Buffer_pH
140,BGG,Polyclonal,3,150,6.6,1,154,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,6.11,5.67,5.67,4.38,3.45,,,,,,47.028
141,BGG,Polyclonal,3,150,6.6,1,102,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,2.76,2.76,2.76,2.46,2,,,,,,47.028
142,BGG,Polyclonal,3,150,6.6,1,75,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,2.02,2.02,2.02,2.02,1.76,,,,,,47.028
143,BSA,Other,2,66,4.7,0.3,183,27.5,Acetate,6.7,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.85,0.9,3.68,3.68,3.68,3.68,3.68,,,,,,-9.693
144,BSA,Other,2,66,4.7,0.3,125,27.5,Acetate,6.6,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.85,0.9,3.02,3.02,3.02,2.74,1.5,,,,,,-8.867
145,BSA,Other,2,66,4.7,0.3,105,27.5,Acetate,6.5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.85,0.9,2.48,2.48,2.48,2.21,1.5,,,,,,-7.935
146,BSA,Other,2,66,4.7,0.3,63,27.5,Acetate,6,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.85,0.9,1.84,1.84,1.84,1.76,1.3,,,,,,-1.739
147,poly-hIgG,Polyclonal,3,150,7.6,1,202,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,8.14,8.14,8.14,5.2,3.4,,,,,,41.809
148,poly-hIgG,Polyclonal,3,150,7.6,1,158,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,4.34,4.34,4.34,3.56,3.4,,,,,,41.809
149,poly-hIgG,Polyclonal,3,150,7.6,1,95,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,2.71,2.71,2.71,2.39,2.28,,,,,,41.809
150,poly-hIgG,Polyclonal,3,150,7.6,1,60,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,1.47,1.47,1.47,1.47,1.4,,,,,,41.809
151,poly-hIgG,Polyclonal,3,150,7.6,1,220,27.5,Histidine,6.3,11,none,0,none,0,none,0,none,0,0.9,0.9,12.69,10.47,10.47,8.69,4,,,,,,8.319
152,poly-hIgG,Polyclonal,3,150,7.6,1,194,27.5,Acetate,5.2,31,none,0,none,0,none,0,none,0,0.9,0.9,12.88,12.88,12.88,11.29,3.5,,,,,,34.099
153,poly-hIgG,Polyclonal,3,150,7.6,1,209,27.5,Acetate,5.2,31,none,0,none,0,none,0,none,0,0.9,0.9,13.71,13.71,13.71,11.05,3.81,,,,,,34.099
154,poly-hIgG,Polyclonal,3,150,7.6,1,134,27.5,Acetate,5.2,27,none,0,none,0,none,0,none,0,0.9,0.9,6.66,6.66,6.3,5.34,2.21,,,,,,34.099
155,poly-hIgG,Polyclonal,3,150,7.6,1,175,27.5,Histidine,6.2,12,none,0,none,0,none,0,none,0,0.9,0.9,6.26,5.84,5.84,5.02,3.3,,,,,,10.081
156,poly-hIgG,Polyclonal,3,150,7.6,1,157,27.5,Acetate,5.2,28,none,0,none,0,none,0,none,0,0.9,0.9,6.31,6.31,6.31,5.76,2.6,,,,,,34.099
157,poly-hIgG,Polyclonal,3,150,7.6,1,163,27.5,Histidine,6.2,12,NaCl,32,none,0,none,0,none,0,0.9,0.9,8.61,6.89,6.89,5.97,2.5,,,,,,10.081
158,poly-hIgG,Polyclonal,3,150,7.6,1,150,27.5,Acetate,5.2,28,NaCl,32,none,0,none,0,none,0,0.9,0.9,5.79,4.39,4.3,3.44,2.3,,,,,,34.099
159,poly-hIgG,Polyclonal,3,150,7.6,1,175,27.5,Histidine,6.2,12,none,0,none,0,none,0,none,0,0.9,0.9,5.92,4.82,4.57,3.7,2,,,,,,10.081
160,poly-hIgG,Polyclonal,3,150,7.6,1,175,27.5,Histidine,6.2,12,none,0,none,0,none,0,none,0,0.9,0.9,9.82,9.82,8.63,6.18,3.28,,,,,,10.081
161,Adalimumab,mAb_IgG1,3,148,8.7,0.3,143,27.5,Histidine,6.3,10,none,0,none,0,none,0,none,0,1,1,5.94,5.94,5.94,4.29,2.54,5.184,9.429,-2.286,4.986,2.700,19.323
162,Adalimumab,mAb_IgG1,3,148,8.7,0.3,139,27.5,Acetate,5.4,40,none,0,none,0,none,0,none,0,1,1,6.25,5.09,5.09,3.7,2.28,5.184,9.429,-0.605,5.378,4.773,39.338
163,Adalimumab,mAb_IgG1,3,148,8.7,0.3,100,27.5,Acetate,5.3,34,none,0,none,0,none,0,none,0,1,1,3.67,3.13,2.85,2.44,1.45,5.184,9.429,-0.341,5.471,5.130,42.308
164,Adalimumab,mAb_IgG1,3,148,8.7,0.3,35,27.5,Acetate,5.1,25,none,0,none,0,tween-80,0.1,none,0,1,1,1.47,1.47,1.47,1.47,1.47,5.184,9.429,0.279,5.716,5.995,49.150
165,Adalimumab,mAb_IgG1,3,148,8.7,0.3,35,27.5,Acetate,5.1,25,none,0,Sucrose,0.5,none,0,none,0,1,1,1.97,1.97,1.97,1.76,1.2,5.184,9.429,0.279,5.716,5.995,49.150
166,Adalimumab,mAb_IgG1,3,148,8.7,0.3,52,27.5,Acetate,5.2,27,none,0,Sucrose,0.25,tween-80,0.05,none,0,1,1,2.02,2.02,2.02,2.02,2,5.184,9.429,-0.049,5.583,5.534,45.558
167,Adalimumab,mAb_IgG1,3,148,8.7,0.3,100,27.5,Histidine,6.3,11,none,0,none,0,none,0,none,0,1,1,3.22,2.67,2.48,2.1,1.3,5.184,9.429,-2.286,4.986,2.700,19.323
168,Adalimumab,mAb_IgG1,3,148,8.7,0.3,52,27.5,Histidine,6.2,13,none,0,Sucrose,0.5,none,0,none,0,1,1,2.76,2.48,2.02,1.58,1.2,5.184,9.429,-2.145,5.012,2.868,21.045
169,Adalimumab,mAb_IgG1,3,148,8.7,0.3,52,27.5,Histidine,6.2,13,none,0,Sucrose,0.25,tween-80,0.05,none,0,1,1,2.76,2.39,1.7,1.58,1.15,5.184,9.429,-2.145,5.012,2.868,21.045
170,Adalimumab,mAb_IgG1,3,148,8.7,0.3,35,27.5,Histidine,6.1,14,none,0,Sucrose,0.5,tween-80,0.1,none,0,1,1,1.84,1.84,1.75,1.67,1.52,5.184,9.429,-1.991,5.040,3.048,22.912
171,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,146,27.5,Acetate,5.4,40,none,0,none,0,none,0,none,0,1,1,3.1,3.1,3.1,2.54,1.75,6.990,6.746,2.267,1.213,3.480,36.867
172,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,136,27.5,Histidine,6.3,11,none,0,none,0,none,0,none,0,1,1,3.23,3.23,2.97,2.46,1.66,6.990,6.746,0.696,0.316,1.012,15.963
173,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,100,27.5,Histidine,6.2,11.5,none,0,none,0,none,0,none,0,1,1,3.04,2.76,2.35,2.24,1.4,6.990,6.746,0.834,0.396,1.229,17.788
174,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,50,27.5,Histidine,6.1,12.3,none,0,Sucrose,0.5,none,0,none,0,1,1,1.62,1.62,1.62,1.45,1.3,6.990,6.746,0.981,0.480,1.461,19.765
175,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,60,27.5,Histidine,6.1,12.3,none,0,Sucrose,0.25,tween-80,0.1,none,0,1,1,2.3,2.3,2.02,1.94,1.1,6.990,6.746,0.981,0.480,1.461,19.765
176,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,80,27.5,Histidine,6.2,11.8,none,0,none,0,tween-80,0.1,none,0,1,1,2.3,2.3,2.3,2.3,2.3,6.990,6.746,0.834,0.396,1.229,17.788
177,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,75,27.5,Acetate,5.2,31,none,0,none,0,none,0,none,0,1,1,1.38,1.38,1.38,1.23,1.12,6.990,6.746,2.753,1.507,4.259,43.179
178,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,50,27.5,Acetate,5.2,27,none,0,Sucrose,0.5,tween-80,0.05,none,0,1,1,2,2,2,2,2,6.990,6.746,2.753,1.507,4.259,43.179
179,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,75,27.5,Acetate,5.2,31,none,0,none,0,tween-80,0.05,none,0,1,1,1.75,1.66,1.66,1.66,1.6,6.990,6.746,2.753,1.507,4.259,43.179
180,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,100,27.5,Acetate,5.3,35,none,0,Sucrose,0.25,tween-80,0.1,none,0,1,1,2.58,2.39,2.07,1.76,1.2,6.990,6.746,2.499,1.352,3.850,39.891
181,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0,0,3.77,3.77,3.77,3.77,3.77,,,,,,
182,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0,0,4.38,4.38,4.38,4.38,4.38,,,,,,
183,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0,0,2.8,2.8,2.8,2.8,2.8,,,,,,
184,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0,0,2.41,2.41,2.41,2.41,2.41,,,,,,
185,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,3.03,3.03,3.03,3.03,3.03,,,,,,
186,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,2.6,2.6,2.6,2.6,2.6,,,,,,
187,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,1.93,1.93,1.93,1.93,1.93,,,,,,
188,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,2.6,1.67,1.67,1.67,1.67,,,,,,
189,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,2.22,2.22,2.22,2.22,2.22,,,,,,
190,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,1.92,1.92,1.92,1.92,1.92,,,,,,
191,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,1.42,1.42,1.42,1.42,1.42,,,,,,
192,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,1.22,1.22,1.22,1.22,1.22,,,,,,
193,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,none,0,0,0,3.82,3.82,3.82,3.82,3.82,,,,,,
194,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,none,0,0,0,4.43,4.43,4.43,4.43,4.43,,,,,,
195,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,none,0,0,0,2.85,2.85,2.85,2.85,2.85,,,,,,
196,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,none,0,0,0,2.46,2.46,2.46,2.46,2.46,,,,,,
197,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,3.08,3.08,3.08,3.08,3.08,,,,,,
198,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,2.65,2.65,2.65,2.65,2.65,,,,,,
199,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,1.98,1.98,1.98,1.98,1.98,,,,,,
200,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,2.65,2.65,2.65,2.65,2.65,,,,,,
201,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,none,0,0,0,2.27,2.27,2.27,2.27,2.27,,,,,,
202,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,none,0,0,0,1.97,1.97,1.97,1.97,1.97,,,,,,
203,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,none,0,0,0,1.47,1.47,1.47,1.47,1.47,,,,,,
204,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,none,0,0,0,1.27,1.27,1.27,1.27,1.27,,,,,,
205,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,none,0,0,0,3.87,3.87,3.87,3.87,3.87,,,,,,
206,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,none,0,0,0,4.48,4.48,4.48,4.48,4.48,,,,,,
207,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,none,0,0,0,2.9,2.9,2.9,2.9,2.9,,,,,,
208,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,none,0,0,0,2.51,2.51,2.51,2.51,2.51,,,,,,
209,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,3.13,3.13,3.13,3.13,3.13,,,,,,
210,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,2.7,2.7,2.7,2.7,2.7,,,,,,
211,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,2.03,2.03,2.03,2.03,2.03,,,,,,
212,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,2.7,2.7,2.7,2.7,2.7,,,,,,
213,none,None,0,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,none,0,0,0,2.32,2.32,2.32,2.32,2.32,,,,,,
214,none,None,0,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,none,0,0,0,2.02,2.02,2.02,2.02,2.02,,,,,,
215,none,None,0,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,none,0,0,0,1.52,1.52,1.52,1.52,1.52,,,,,,
216,none,None,0,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,none,0,0,0,1.32,1.32,1.32,1.32,1.32,,,,,,
217,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,193,27.5,Acetate,5.4,40,none,0,none,0,none,0,none,0,1.3,1.1,13.68,9.97,9.31,6.19,4,8.554,6.997,2.665,2.325,4.990,29.125
218,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,250,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1,1,13.26,13.26,12.03,6.61,3.82,6.990,6.746,-0.340,-0.478,-0.818,4.392
219,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,60,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.1,none,0,none,0,1,1,2.76,2.76,2.76,2.52,1.2,6.990,6.746,-0.340,-0.478,-0.818,4.392
220,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,100,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,none,0,1,1,2.21,2.21,2.21,1.68,1.6,6.990,6.746,-0.340,-0.478,-0.818,4.392
221,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,100,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1,1,5,3.22,2.76,2.36,1.4,6.990,6.746,-0.340,-0.478,-0.818,4.392
222,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,80,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.05,none,0,1,1,5.32,3.84,2.48,1.9,1.81,6.990,6.746,-0.340,-0.478,-0.818,4.392
223,Bevacizumab,mAb_IgG1,3,149,8.3,0.3,75,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.25,tween-80,0.05,none,0,1,1,2.82,2.82,2.82,2.57,1.6,6.990,6.746,-0.340,-0.478,-0.818,4.392
224,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,50,27.5,Acetate,5.1,27,none,0,Sucrose,0.1,tween-80,0.1,none,0,1.3,1.1,1.99,1.99,1.99,1.68,1.2,8.554,6.997,3.246,3.135,6.380,39.320
225,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,100,27.5,Acetate,5.3,32,none,0,none,0,none,0,none,0,1.3,1.1,3.16,3.16,2.3,2.1,1.43,8.554,6.997,2.825,2.570,5.395,32.165
226,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,80,27.5,Acetate,5.2,29,none,0,Sucrose,0.5,tween-80,0.1,none,0,1.3,1.1,3.91,3.8,3.22,2.69,2,8.554,6.997,3.017,2.838,5.855,35.543
227,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,100,27.5,Acetate,5.3,32,NaCl,140,none,0,none,0,none,0,1.3,1.1,7.59,4.14,2.99,2.31,1.3,8.554,6.997,2.825,2.570,5.395,32.165
228,Pembrolizumab,mAb_IgG4,3.5,149,7.57,0.3,60,27.5,Acetate,5.1,27,none,0,Sucrose,0.25,tween-80,0.05,none,0,1.3,1.1,2.88,2.88,2.3,1.79,1.4,8.554,6.997,3.246,3.135,6.380,39.320
229,Adalimumab,mAb_IgG1,3,148,8.7,0.3,267,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1,1,45.69,44.76,33.57,21.29,5.75,5.184,9.429,-3.326,4.482,1.156,8.339
230,Adalimumab,mAb_IgG1,3,148,8.7,0.3,62,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.25,none,0,none,0,1,1,1.61,1.61,1.61,1.37,1.12,5.184,9.429,-3.326,4.482,1.156,8.339
231,Adalimumab,mAb_IgG1,3,148,8.7,0.3,100,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,none,0,1,1,7.13,4.72,4.14,3.78,2.14,5.184,9.429,-3.326,4.482,1.156,8.339
232,Adalimumab,mAb_IgG1,3,148,8.7,0.3,80,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.05,none,0,1,1,6.44,5.75,4.83,4.31,1.6,5.184,9.429,-3.326,4.482,1.156,8.339
233,Adalimumab,mAb_IgG1,3,148,8.7,0.3,75,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,none,0,1,1,5.18,2.65,1.61,1.26,1.04,5.184,9.429,-3.326,4.482,1.156,8.339
234,BSA,Other,2,66,4.7,0.3,392,27.5,Histidine,6.7,15,none,0,none,0,none,0,none,0,0.85,0.9,42.94,38.45,31.41,30,27.96,,,,,,-9.693
235,BSA,Other,2,66,4.7,0.3,414,27.5,Acetate,6.8,20,none,0,none,0,none,0,none,0,0.85,0.9,88.2,50.67,39.41,35,33,,,,,,-10.419
236,BSA,Other,2,66,4.7,0.3,431,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,98.27,73.7,47.91,46,44,,,,,,-13.177
237,BSA,Other,2,66,4.7,0.3,160,27.5,Histidine,6.4,15,none,0,none,0,none,0,none,0,0.85,0.9,3.63,3.38,3.08,2.69,2.38,,,,,,-6.849
238,BSA,Other,2,66,4.7,0.3,174,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,4.06,4.06,3.38,3.25,2.41,,,,,,-13.177
239,BSA,Other,2,66,4.7,0.3,162,27.5,Acetate,6.6,20,none,0,none,0,none,0,none,0,0.85,0.9,4.31,4.31,4.05,3.54,2.5,,,,,,-8.867
240,BSA,Other,2,66,4.7,0.3,182,27.5,Histidine,6.5,15,NaCl,140,none,0,none,0,none,0,0.85,0.9,3.93,3.93,3.93,3.44,2.8,,,,,,-7.935
241,BSA,Other,2,66,4.7,0.3,172,27.5,Histidine,6.5,30,none,0,none,0,none,0,none,0,0.85,0.9,4.07,3.86,3.69,3.1,2.48,,,,,,-7.935
242,BSA,Other,2,66,4.7,0.3,169,27.5,Acetate,6.7,20,NaCl,140,none,0,none,0,none,0,0.85,0.9,4.35,3.84,3.04,3,2,,,,,,-9.693
243,BSA,Other,2,66,4.7,0.3,5,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.01,1.01,0.96,0.96,0.8,,,,,,-13.177
244,BSA,Other,2,66,4.7,0.3,10,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.03,1.03,1.03,0.96,0.8,,,,,,-13.177
245,BSA,Other,2,66,4.7,0.3,20,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.1,1.1,1.1,1.06,0.88,,,,,,-13.177
246,BSA,Other,2,66,4.7,0.3,25,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.2,1.2,1.2,1.15,0.96,,,,,,-13.177
247,BSA,Other,2,66,4.7,0.3,5,27.5,Acetate,5,20,none,0,none,0,none,0,none,0,0.85,0.9,1.01,1.01,0.96,0.96,0.8,,,,,,19.914
248,BSA,Other,2,66,4.7,0.3,10,27.5,Acetate,5,20,none,0,none,0,none,0,none,0,0.85,0.9,1.03,1.03,1.03,0.96,0.8,,,,,,19.914
249,BSA,Other,2,66,4.7,0.3,20,27.5,Acetate,5,20,none,0,none,0,none,0,none,0,0.85,0.9,1.2,1.2,1.2,1.15,0.96,,,,,,19.914
250,BSA,Other,2,66,4.7,0.3,25,27.5,Acetate,5,20,none,0,none,0,none,0,none,0,0.85,0.9,1.34,1.34,1.34,1.3,1.08,,,,,,19.914
251,BSA,Other,2,66,4.7,0.3,5,27.5,Histidine,6,15,none,0,none,0,none,0,none,0,0.85,0.9,1.01,1.01,0.96,0.96,0.8,,,,,,-1.739
252,BSA,Other,2,66,4.7,0.3,10,27.5,Histidine,6,15,none,0,none,0,none,0,none,0,0.85,0.9,1.04,1.03,1.04,0.98,0.82,,,,,,-1.739
253,BSA,Other,2,66,4.7,0.3,20,27.5,Histidine,6,15,none,0,none,0,none,0,none,0,0.85,0.9,1.1,1.1,1.1,1.06,0.88,,,,,,-1.739
254,BSA,Other,2,66,4.7,0.3,20,27.5,Histidine,6,30,none,0,none,0,none,0,none,0,0.85,0.9,1.13,1.13,1.13,1.06,0.88,,,,,,-1.739
255,BSA,Other,2,66,4.7,0.3,25,27.5,Histidine,6,15,none,0,none,0,none,0,none,0,0.85,0.9,1.25,1.25,1.2,1.2,1,,,,,,-1.739
256,BSA,Other,2,66,4.7,0.3,25,27.5,Histidine,6,30,none,0,none,0,none,0,none,0,0.85,0.9,1.34,1.34,1.34,1.25,1.04,,,,,,-1.739
257,poly-hIgG,Polyclonal,3,150,7.6,1,10,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.08,1.07,1.08,1.06,0.88,,,,,,-2.167
258,poly-hIgG,Polyclonal,3,150,7.6,1,20,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.39,1.39,1.39,1.34,1.12,,,,,,-2.167
259,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,304,27.5,Histidine,6.2,11.6,none,0,none,0,none,0,none,0,1.3,1.1,10.95,10.95,10.31,6.49,4.5,5.744,7.920,-0.539,1.054,0.515,6.927
260,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,300,27.5,Acetate,5.4,43,none,0,none,0,none,0,none,0,1.3,1.1,18.72,18.72,16.07,9.72,7.9,5.744,7.920,0.601,1.622,2.223,23.591
261,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,290,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,11.94,11.94,11.94,8.58,5.95,5.744,7.920,-1.491,0.477,-1.014,-4.122
262,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,187.5,27.5,Histidine,6.2,13.5,none,0,Sucrose,0.75,none,0,none,0,1.3,1.1,3.82,3.82,3.32,2.21,1.4,5.744,7.920,-0.539,1.054,0.515,6.927
263,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,270,27.5,Acetate,5.4,41,none,0,none,0,tween-80,0.1,none,0,1.3,1.1,12.17,9.64,8.17,5.22,4.5,5.744,7.920,0.601,1.622,2.223,23.591
264,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,245,27.5,PBS,7.4,10,NaCl,140,Trehalose,0.155,none,0,none,0,1.3,1.1,9.97,7.29,6.31,6,5.41,5.744,7.920,-1.491,0.477,-1.014,-4.122
265,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,230,27.5,Histidine,6.2,12.8,none,0,Sucrose,0.5,none,0,none,0,1.3,1.1,5.24,5.09,5.09,4.5,4.1,5.744,7.920,-0.539,1.054,0.515,6.927
266,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,150,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,1.3,1.1,7.91,7.03,7.03,5.61,5,5.744,7.920,-1.491,0.477,-1.014,-4.122
267,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,150,27.5,Acetate,5.3,30,none,0,none,0,tween-80,0.075,none,0,1.3,1.1,2.47,2.42,2.42,2.21,2.2,5.744,7.920,0.829,1.772,2.601,26.578
268,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,150,27.5,Histidine,6.2,13.3,none,0,Trehalose,0.25,none,0,none,0,1.3,1.1,3.51,3.51,3.51,3.14,2.7,5.744,7.920,-0.539,1.054,0.515,6.927
269,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,100,27.5,Acetate,5.2,27,none,0,none,0,none,0,none,0,1.3,1.1,3.04,3.04,3.04,2.52,1.8,5.744,7.920,1.092,1.951,3.043,29.918
270,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,70,27.5,Acetate,5.2,25,none,0,Sucrose,0.75,tween-80,0.05,none,0,1.3,1.1,3.85,3.4,3.4,3.11,2.7,5.744,7.920,1.092,1.951,3.043,29.918
271,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,70,27.5,Acetate,5.2,25,none,0,Trehalose,0.5,none,0,none,0,1.3,1.1,3.59,3.13,3.13,2.52,2.4,5.744,7.920,1.092,1.951,3.043,29.918
272,Ibalizumab,mAb_IgG4,3.5,150,6.85,0.3,55,27.5,Acetate,5.1,23,none,0,none,0,tween-20,0.05,none,0,1.3,1.1,1.2,1.2,1.2,1.01,0.96,5.744,7.920,1.394,2.164,3.558,33.675
