ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,VH_pI,VL_pI,VH_Charge_at_Buffer_pH,VL_Charge_at_Buffer_pH,Fv_Charge_at_Buffer_pH,Whole_Antibody_Charge_at_Buffer_pH
17,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,1.65,1.65,1.65,1.65,1.65,,,,,,
18,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,2.25,2.25,2.25,2.25,2.25,,,,,,
19,poly-hIgG,Polyclonal,3,150,7.6,1,260,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,22.12,19.76,17.88,12.03,6.5,,,,,,-2.167
20,poly-hIgG,Polyclonal,3,150,7.6,1,240,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,64.36,47.35,31.89,24.71,18,,,,,,-2.167
21,BSA,Other,2,66,4.7,0.3,185,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.41,none,0,none,0,0.85,0.9,8.25,8.25,7.83,6.29,3.58,,,,,,-13.177
22,BSA,Other,2,66,4.7,0.3,83.3,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.19,none,0,none,0,0.85,0.9,2.19,2.19,2.19,2,1.56,,,,,,-13.177
23,poly-hIgG,Polyclonal,3,150,7.6,1,38.3,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.21,none,0,0.9,0.9,1.32,1.32,1.32,1.21,1.15,,,,,,-2.167
24,poly-hIgG,Polyclonal,3,150,7.6,1,124,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.09,none,0,0.9,0.9,2.98,2.98,2.98,2.72,2.6,,,,,,-2.167
25,poly-hIgG,Polyclonal,3,150,7.6,1,189,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.05,none,0,0.9,0.9,8.3,8.3,8.3,6.16,4.17,,,,,,-2.167
26,poly-hIgG,Polyclonal,3,150,7.6,1,95,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.46,none,0,none,0,0.9,0.9,4.37,3.85,3.85,3.15,2.24,,,,,,-2.167
27,poly-hIgG,Polyclonal,3,150,7.6,1,164,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.3,tween-20,0.1,none,0,0.9,0.9,7.32,6.46,6.24,4.82,4,,,,,,-2.167
28,BSA,Other,2,66,4.7,0.3,177,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,4.65,4.22,4.22,3.66,3,,,,,,-13.177
29,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.1,none,0,0,0,1,1,1,1,1,,,,,,
30,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.05,none,0,0,0,0.97,0.97,0.97,0.97,0.97,,,,,,
31,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0,0,0,1.2,1.2,1.2,1.2,1.2,,,,,,
32,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0,0,0,1.3,1.3,1.3,1.3,1.3,,,,,,
33,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0,0,0,1.55,1.55,1.55,1.55,1.55,,,,,,
34,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,2.32,2.32,2.32,2.32,2.32,,,,,,
35,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0,0,0,1.17,1.17,1.17,1.17,1.17,,,,,,
36,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0,0,0,1.27,1.27,1.27,1.27,1.27,,,,,,
37,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0,0,0,1.52,1.52,1.52,1.52,1.52,,,,,,
38,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.05,none,0,0,0,2.29,2.29,2.29,2.29,2.29,,,,,,
39,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,none,0,0,0,1.07,1.07,1.07,1.07,1.07,,,,,,
40,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.05,none,0,0,0,1,1,1,1,1,,,,,,
41,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.1,none,0,0,0,1.27,1.27,1.27,1.27,1.27,,,,,,
42,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.1,none,0,0,0,1.38,1.38,1.38,1.38,1.38,,,,,,
43,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.1,none,0,0,0,1.64,1.64,1.64,1.64,1.64,,,,,,
44,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,2.42,2.42,2.42,2.42,2.42,,,,,,
45,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,none,0,0,0,1.2,1.2,1.2,1.2,1.2,,,,,,
46,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.05,none,0,0,0,1.3,1.3,1.3,1.3,1.3,,,,,,
47,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.05,none,0,0,0,1.55,1.55,1.55,1.55,1.55,,,,,,
48,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.05,none,0,0,0,2.32,2.32,2.32,2.32,2.32,,,,,,
49,BGG,Polyclonal,3,150,6.6,1,85,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.22,none,0,none,0,0.9,0.9,3.45,3.45,3.45,3.15,2.95,,,,,,-3.653
50,BGG,Polyclonal,3,150,6.6,1,43.6,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.15,none,0,0.9,0.9,1.55,1.55,1.55,1.42,1.3,,,,,,-3.653
51,BGG,Polyclonal,3,150,6.6,1,64,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.704,tween-80,0.037,none,0,0.9,0.9,3.62,3.62,3.62,3.31,3.15,,,,,,-3.653
52,BGG,Polyclonal,3,150,6.6,1,85.7,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.0624,none,0,0.9,0.9,2.74,2.74,2.74,2.42,2,,,,,,-3.653
