ID,Group,Shear_Rate,Actual_Viscosity,Predicted_Viscosity,Log10_Actual,Log10_Predicted,Log10_Error
1,poly-higg,100.0,14.38,13.095965162357905,1.1577588860468637,1.1171375111033468,-0.04062137494351692
1,poly-higg,1000.0,13.23,12.171461167710486,1.121559844187501,1.0853427178341906,-0.036217126353310425
1,poly-higg,10000.0,11.27,11.152344925137646,1.0519239160461065,1.0473661930322158,-0.00455772301389068
1,poly-higg,100000.0,9.24,9.733247321622274,0.9656719712201067,0.9882577589297963,0.022585787709689553
1,poly-higg,15000000.0,6.92,6.728621875493244,0.8401060944567578,0.8279261231902977,-0.012179971266460088
2,none,100.0,3.25,3.0787836815124625,0.5118833609788743,0.4883791760010343,-0.023504184977840015
2,none,1000.0,3.25,3.07723312409746,0.5118833609788743,0.48816039864394956,-0.02372296233492477
2,none,10000.0,3.25,3.0750757979254,0.5118833609788743,0.4878558252220144,-0.024027535756859897
2,none,100000.0,3.25,3.0710272448332714,0.5118833609788743,0.48728366933407,-0.0245996916448043
2,none,15000000.0,3.25,3.0831057144019525,0.5118833609788743,0.48898841619401034,-0.02289494478486398
3,poly-higg,100.0,4.6,4.738837187648936,0.6627578316815741,0.675671787889039,0.012913956207464938
3,poly-higg,1000.0,4.6,4.5278043562431405,0.6627578316815741,0.6558876529771047,-0.006870178704469376
3,poly-higg,10000.0,4.6,4.254812513469195,0.6627578316815741,0.6288804278378338,-0.03387740384374027
3,poly-higg,100000.0,3.68,3.8396593830241557,0.5658478186735176,0.584292699723202,0.018444881049684336
3,poly-higg,15000000.0,2.41,2.5576149374708343,0.3820170425748684,0.4078351597205493,0.025818117145680886
4,none,100.0,0.95,1.0173959725358181,-0.022276394711152253,0.007490014100395616,0.029766408811547868
4,none,1000.0,0.95,1.0188490671727448,-0.022276394711152253,0.008109852162433862,0.030386246873586115
4,none,10000.0,0.95,1.0237641223328748,-0.022276394711152253,0.010199905692954815,0.03247630040410707
4,none,100000.0,0.95,1.0258606454707258,-0.022276394711152253,0.011088369534536832,0.033364764245689085
4,none,15000000.0,0.95,1.0054645232996593,-0.022276394711152253,0.0023667516040623148,0.024643146315214567
5,poly-higg,100.0,8.31,8.142536737940178,0.919601023784111,0.9107597267147987,-0.00884129706931236
5,poly-higg,1000.0,8.31,7.481407281568761,0.919601023784111,0.8739832980160711,-0.04561772576803991
5,poly-higg,10000.0,8.31,6.8632891445243285,0.919601023784111,0.8365322957326051,-0.08306872805150589
5,poly-higg,100000.0,6.83,5.9342649348333705,0.8344207036815325,0.7733669314597145,-0.06105377222181807
5,poly-higg,15000000.0,4.6,4.225920756912729,0.6627578316815741,0.6259213490442178,-0.03683648263735628
6,poly-higg,100.0,8.84,7.014994380711272,0.9464522650130731,0.846027327477413,-0.10042493753566006
6,poly-higg,1000.0,8.84,6.83851063731346,0.9464522650130731,0.834961526803881,-0.11149073820919209
6,poly-higg,10000.0,8.84,6.6311082173555995,0.9464522650130731,0.8215861155031541,-0.12486614950991903
6,poly-higg,100000.0,6.93,5.9066224694427145,0.8407332346118067,0.7713392131673248,-0.06939402144448192
6,poly-higg,15000000.0,4.16,4.659845936929356,0.6190933306267428,0.6683715583536275,0.04927822772688473
7,poly-higg,100.0,2.44,2.5045210912055156,0.3873898263387294,0.3987246933446002,0.011334867005870775
7,poly-higg,1000.0,2.44,2.431694386887782,0.3873898263387294,0.3859089922995746,-0.0014808340391548325
7,poly-higg,10000.0,2.44,2.3023813912888498,0.3873898263387294,0.36217726647559667,-0.025212559863132755
7,poly-higg,100000.0,2.23,2.1310984529441686,0.34830486304816066,0.3286035138074458,-0.01970134924071487
7,poly-higg,15000000.0,2.0,1.6269538112420487,0.3010299956639812,0.211375223614521,-0.08965477204946021
8,poly-higg,100.0,1.84,1.7302367469737927,0.2648178230095365,0.23810553137720983,-0.026712291632326662
8,poly-higg,1000.0,1.84,1.6905849818987455,0.2648178230095365,0.22803700665579615,-0.03678081635374034
8,poly-higg,10000.0,1.84,1.6345750845486091,0.2648178230095365,0.21340487478251172,-0.051412948227024774
8,poly-higg,100000.0,1.68,1.5681183358141668,0.22530928172586284,0.1953788329988795,-0.029930448726983333
8,poly-higg,15000000.0,1.2,1.3256636189830588,0.07918124604762482,0.12243333783003811,0.04325209178241329
9,poly-higg,100.0,6.15,5.822911875998032,0.7888751157754168,0.7651402175410702,-0.023734898234346602
9,poly-higg,1000.0,5.35,5.527381834071156,0.7283537820212285,0.7425194668799879,0.014165684858759464
9,poly-higg,10000.0,5.35,5.102389543179035,0.7283537820212285,0.7077736118580606,-0.02058017016316782
9,poly-higg,100000.0,4.62,4.607638706099023,0.6646419755561255,0.6634784178762869,-0.001163557679838556
9,poly-higg,15000000.0,3.26,3.35741846161317,0.5132176000679389,0.526005474177249,0.012787874109310038
10,poly-higg,100.0,3.57,3.450287165000644,0.5526682161121932,0.5378552426051856,-0.01481297350700761
10,poly-higg,1000.0,3.57,3.324701540493239,0.5526682161121932,0.521752664636216,-0.030915551475977243
10,poly-higg,10000.0,3.34,3.2248977416894244,0.5237464668115644,0.5085159481421063,-0.015230518669458126
10,poly-higg,100000.0,2.89,3.104914486451771,0.4608978427565479,0.4920496436193509,0.031151800862803003
10,poly-higg,15000000.0,2.58,2.8292757116429588,0.41161970596323016,0.45167527132077206,0.0400555653575419
11,poly-higg,100.0,14.72,13.095969136338555,1.1679078100014801,1.1171376428903197,-0.05077016711116045
11,poly-higg,1000.0,14.49,12.171468554590017,1.1610683854711745,1.0853429814081363,-0.07572540406303818
11,poly-higg,10000.0,14.49,11.152344925137646,1.1610683854711745,1.0473661930322158,-0.11370219243895874
11,poly-higg,100000.0,11.55,9.73325027518362,1.0625819842281632,0.9882578907167691,-0.07432409351139413
11,poly-higg,15000000.0,6.92,6.728624597900657,0.8401060944567578,0.8279262989062615,-0.012179795550496308
12,poly-higg,100.0,4.14,3.905021379957914,0.617000341120899,0.5916234159783197,-0.025376925142579276
12,poly-higg,1000.0,4.14,3.7772565046295954,0.617000341120899,0.5771764777485532,-0.03982386337234578
12,poly-higg,10000.0,4.14,3.4279172849903365,0.617000341120899,0.535030333932121,-0.081970007188778
12,poly-higg,100000.0,3.15,2.937837626480414,0.4983105537896005,0.46802778877476825,-0.030282765014832236
12,poly-higg,15000000.0,2.25,2.30409356819994,0.3521825181113625,0.3625001116121972,0.01031759350083472
13,poly-higg,100.0,17.25,14.764760272715153,1.236789099409293,1.1692263999579091,-0.06756269945138382
13,poly-higg,1000.0,17.25,13.814559021018104,1.236789099409293,1.1403370262199466,-0.09645207318934634
13,poly-higg,10000.0,17.25,13.078680493149092,1.236789099409293,1.116563930268759,-0.12022516914053383
13,poly-higg,100000.0,14.7,12.327613242949694,1.167317334748176,1.0908790007032585,-0.07643833404491751
13,poly-higg,15000000.0,13.0,8.999626297447374,1.1139433523068367,0.9542244760697627,-0.15971887623707404
14,none,100.0,1.15,1.1762237431726552,0.06069784035361165,0.07048994179343968,0.009792101439828026
14,none,1000.0,1.15,1.1831980889241536,0.06069784035361165,0.07305745952639107,0.012359619172779425
14,none,10000.0,1.15,1.183111682563206,0.06069784035361165,0.07302574279493883,0.012327902441327178
14,none,100000.0,1.15,1.1813842823589789,0.06069784035361165,0.07239118852093876,0.01169334816732711
14,none,15000000.0,1.15,1.1234196259483464,0.06069784035361165,0.05054200665657086,-0.01015583369704079
15,none,100.0,1.25,1.2738995946628806,0.09691001300805642,0.10513519942613471,0.00822518641807829
15,none,1000.0,1.25,1.2817099048577194,0.09691001300805642,0.10778974049012072,0.010879727482064297
15,none,10000.0,1.25,1.2882806471492687,0.09691001300805642,0.11001048276866175,0.013100469760605332
15,none,100000.0,1.25,1.2829654856046249,0.09691001300805642,0.108214973122334,0.011304960114277576
15,none,15000000.0,1.25,1.2174389498214293,0.09691001300805642,0.0854471921286054,-0.011462820879451024
16,none,100.0,1.5,1.504213483267951,0.17609125905568124,0.17730947723018933,0.0012182181745080956
16,none,1000.0,1.5,1.5060704210201767,0.17609125905568124,0.17784527913257625,0.0017540200768950132
16,none,10000.0,1.5,1.5048849257385228,0.17609125905568124,0.17750329193817743,0.0014120328824961947
16,none,100000.0,1.5,1.4885562233450782,0.17609125905568124,0.17276524276331917,-0.003326016292362066
16,none,15000000.0,1.5,1.4198669047686003,0.17609125905568124,0.1522476364720556,-0.02384362258362563
17,none,100.0,1.65,1.6554652609074592,0.21748394421390627,0.21892007173593248,0.0014361275220262093
17,none,1000.0,1.65,1.6425181288750632,0.21748394421390627,0.21551017167288583,-0.0019737725410204354
17,none,10000.0,1.65,1.6232693899096078,0.21748394421390627,0.21039059921179076,-0.007093345002115503
17,none,100000.0,1.65,1.6075945864436163,0.21748394421390627,0.20617653504075895,-0.01130740917314732
17,none,15000000.0,1.65,1.564855681998846,0.21748394421390627,0.1944742911466168,-0.02300965306728947
18,none,100.0,2.25,2.3755835100899767,0.3521825181113625,0.37577030199739625,0.023587783886033775
18,none,1000.0,2.25,2.371054146051902,0.3521825181113625,0.37494147176100323,0.022758953649640756
18,none,10000.0,2.25,2.363772158885383,0.3521825181113625,0.37360561311128326,0.02142309499992079
18,none,100000.0,2.25,2.3545842038812226,0.3521825181113625,0.3719142261557099,0.01973170804434743
18,none,15000000.0,2.25,2.3157558630931283,0.3521825181113625,0.3646927722832856,0.01251025417192314
19,poly-higg,100.0,27.03,20.657771872123018,1.4318460456987254,1.3150834771145932,-0.11676256858413225
19,poly-higg,1000.0,24.15,17.930938016419844,1.382917135087531,1.253603009288866,-0.12931412579866497
19,poly-higg,10000.0,21.85,15.746202239028523,1.3394514413064407,1.1971758250769187,-0.142275616229522
19,poly-higg,100000.0,14.7,12.125184398707669,1.167317334748176,1.0836883520357246,-0.08362898271245145
19,poly-higg,15000000.0,6.5,5.708834951472739,0.8129133566428556,0.7565474872699876,-0.05636586937286803
20,poly-higg,100.0,76.59,42.71145968569354,1.8841720695239128,1.6305444139135812,-0.2536276556103316
20,poly-higg,1000.0,56.35,38.85330190098112,1.7508939203821254,1.5894279326978313,-0.1614659876842941
20,poly-higg,10000.0,37.95,32.155413496878715,1.579211780231499,1.5072540986881249,-0.07195768154337423
20,poly-higg,100000.0,29.4,24.525014555446674,1.4683473304121573,1.3896092738031909,-0.07873805660896638
20,poly-higg,15000000.0,18.0,14.255004457725743,1.255272505103306,1.1539673574550466,-0.10130514764825937
21,bsa,100.0,9.09,8.35973414419798,0.9585638832219674,0.9221924662495784,-0.03637141697238899
21,bsa,1000.0,9.09,7.776474540867531,0.9585638832219674,0.8907827545149244,-0.067781128707043
21,bsa,10000.0,8.63,7.309783157094369,0.9360107957152096,0.8639044939107796,-0.07210630180443
21,bsa,100000.0,6.93,6.338571147631426,0.8407332346118067,0.8019913694533716,-0.03874186515843514
21,bsa,15000000.0,3.58,4.399211948607123,0.5538830266438743,0.6433748862535401,0.08949185960966577
22,bsa,100.0,2.19,2.0379399389646617,0.34044411484011833,0.3091913805729639,-0.031252734267154414
22,bsa,1000.0,2.19,2.0019875472444926,0.34044411484011833,0.3014613717547777,-0.03898274308534061
22,bsa,10000.0,2.19,1.9059869429901106,0.34044411484011833,0.2801199211675918,-0.060324193672526505
22,bsa,100000.0,2.0,1.809348718500547,0.3010299956639812,0.25752227715573944,-0.043507718508241755
22,bsa,15000000.0,1.56,1.5355156757984822,0.1931245983544616,0.18625425443459392,-0.006870343919867683
23,poly-higg,100.0,1.32,1.4532709889077826,0.12057393120584989,0.16234660398418446,0.041772672778334574
23,poly-higg,1000.0,1.32,1.4129771387016907,0.12057393120584989,0.1501351352271687,0.029561204021318815
23,poly-higg,10000.0,1.32,1.353079703297549,0.12057393120584989,0.1313233795117425,0.010749448305892612
