Feature,Importance_dMSE
num__Phi_Protein,0.038382093534272896
num__Protein_conc,0.03329103875340397
num__conc_x_HCI,0.03160435656770724
num__log_conc,0.018030050040418813
num__conc_x_kP,0.013081176970680524
num__conc_sq,0.010153659489725539
num__Phi_Total,0.009316284086479772
num__Exp_Crowding,0.007621281506553303
num__Buffer_conc,0.0076020898273363915
num__Total_Solute_Mass,0.007574913155725652
cat__Stabilizer_type_trehalose,0.007317693151548232
num__KD_Asymptote,0.004224064939701462
cat__Buffer_type_acetate,0.004148972965065291
num__Buffer_pH,0.0035706674103728846
num__Temperature,0.0025370338036206017
cat__Stabilizer_type_sucrose,0.002247712104566703
num__trehalose_low,0.0020225548386092994
num__Crowding_Index,0.0015885916659132832
num__prior_tween-20,0.001453646795579704
num__prior_arginine,0.0012080122003621397
num__trehalose_high,0.0011871578334483246
num__Phi_Stabilizer,0.0011312370595292689
cat__Salt_type_nacl,0.0011149872078760389
num__Stabilizer_conc,0.0010497796391392544
cat__Excipient_type_lysine,0.0009975267208780598
num__Stabilizer_Squared,0.0009655851570706045
cat__Protein_type_bevacizumab,0.0009310935887579695
cat__Protein_type_trastuzumab,0.0009229678741966927
num__Effective_Protein_Fraction,0.000890947805824301
cat__Protein_type_ibalizumab,0.0008465840820020094
cat__Excipient_type_arginine,0.0008382636166826812
cat__Excipient_type_proline,0.0008305242674229414
num__prior_stabilizer,0.0008267907993506256
num__lysine_low,0.0008211551928067572
num__arginine_low,0.0007965094408548933
cat__Protein_class_type_other,0.0007513231844475405
num__Excipient_conc,0.0007364170534722766
num__nacl_high,0.0007340757179804414
cat__Protein_class_type_bispecific,0.0006954941677552668
cat__Protein_type_bsa,0.0006079707089370742
cat__Stabilizer_type_none,0.0005942747692619984
cat__Protein_type_vudalimab,0.00057260055137322
cat__Buffer_type_pbs,0.0005725059670362151
num__prior_proline,0.000537515202838566
num__Salt_conc,0.0005098163825138545
num__prior_lysine,0.0005030074070425748
num__nacl_low,0.00048800110551149283
num__proline_low,0.00047743166144008885
num__tween-20_low,0.0004616028137816664
cat__Buffer_type_histidine,0.00045764353757117744
num__arginine_high,0.0004351661883250785
num__lysine_high,0.00042814179488851
cat__Protein_type_nivolumab,0.0004174932745966498
cat__Protein_class_type_mab_igg4,0.0004142880503627171
num__prior_tween-80,0.0004004710409462736
cat__Protein_type_poly-higg,0.0003974412263221634
cat__Protein_type_etanercept,0.0003907657393769498
cat__Surfactant_type_tween-80,0.0003753177825695153
cat__Protein_type_adalimumab,0.00036717872920312075
cat__Protein_class_type_polyclonal,0.00034839186221090074
num__PI_mean,0.0003413745650933603
num__proline_high,0.0003408253434149522
cat__Protein_type_belatacept,0.0003398623332951569
num__prior_nacl,0.00033951219583504364
cat__Protein_class_type_mab_igg1,0.00033536937213725186
cat__Protein_type_bgg,0.00029984405282296525
cat__Protein_type_pembrolizumab,0.0002843502359669023
cat__Protein_type_none,0.0002751213078973939
num__MW,0.00027081598992327333
num__tween-80_high,0.0002558338046770147
cat__Excipient_type_none,0.00024881675469106204
num__tween-20_high,0.0002460922795730087
cat__Protein_class_type_none,0.00023060480419755548
cat__Protein_class_type_fc-fusion,0.00021788801355273127
num__Surfactant_conc,0.0002097407545879242
num__PI_range,0.0002004537868315944
cat__Surfactant_type_tween-20,0.000144503710331605
num__tween-80_low,0.00014234568487341698
num__kP,0.00012954314580471311
num__HCI,0.0001226399962506123
cat__Salt_type_none,0.00011477269735091222
num__C_Class,0.00010715511179501622
cat__Surfactant_type_none,1.6205271245339596e-05
num__stabilizer_high,0.0
num__stabilizer_low,0.0
