Group,Concept,Concept_idx,Intervention_value,Baseline_log_visc,Predicted_log_visc,Delta_log_visc
adalimumab,self_interaction,0,-1.0,1.071852092694466,1.2012616540979026,0.12940956140343673
adalimumab,self_interaction,0,-0.5,1.071852092694466,1.1493661169988671,0.07751402430440124
adalimumab,self_interaction,0,0.0,1.071852092694466,1.1045239330887757,0.032671840394309815
adalimumab,self_interaction,0,0.5,1.071852092694466,0.9906059073288109,-0.08124618536565498
adalimumab,self_interaction,0,1.0,1.071852092694466,0.9403171986490795,-0.13153489404538643
adalimumab,hydrophobicity,1,-1.0,1.071852092694466,1.0084907121729971,-0.06336138052146878
adalimumab,hydrophobicity,1,-0.5,1.071852092694466,1.0178164483197645,-0.05403564437470143
adalimumab,hydrophobicity,1,0.0,1.071852092694466,1.091295479027726,0.01944338633326015
adalimumab,hydrophobicity,1,0.5,1.071852092694466,1.1494564099423923,0.07760431724792638
adalimumab,hydrophobicity,1,1.0,1.071852092694466,1.2297901746734077,0.15793808197894177
adalimumab,charge_environment,2,-1.0,1.071852092694466,0.9186377173769945,-0.1532143753174714
adalimumab,charge_environment,2,-0.5,1.071852092694466,1.0172641870646233,-0.054587905629842615
adalimumab,charge_environment,2,0.0,1.071852092694466,1.1112576226822826,0.039405529987816657
adalimumab,charge_environment,2,0.5,1.071852092694466,1.0976719831508763,0.02581989045641042
adalimumab,charge_environment,2,1.0,1.071852092694466,1.1248650603349533,0.05301296764048735
adalimumab,ionic_screening,3,-1.0,1.071852092694466,0.8215832275882445,-0.25026886510622137
adalimumab,ionic_screening,3,-0.5,1.071852092694466,1.024588419084142,-0.0472636736103238
adalimumab,ionic_screening,3,0.0,1.071852092694466,1.0705604986442174,-0.001291594050248479
adalimumab,ionic_screening,3,0.5,1.071852092694466,0.946580314576857,-0.12527177811760892
adalimumab,ionic_screening,3,1.0,1.071852092694466,0.8378606819971604,-0.23399141069730556
adalimumab,crowding,4,-1.0,1.071852092694466,0.9729859069475908,-0.09886618574687511
adalimumab,crowding,4,-0.5,1.071852092694466,1.0279235316376036,-0.04392856105686227
adalimumab,crowding,4,0.0,1.071852092694466,1.069880074559987,-0.0019720181344788923
adalimumab,crowding,4,0.5,1.071852092694466,1.1219051348933573,0.050053042198891395
adalimumab,crowding,4,1.0,1.071852092694466,1.1140007374924923,0.04214864479802638
adalimumab,nonlinear_conc,5,-1.0,1.071852092694466,1.207847407530259,0.13599531483579308
adalimumab,nonlinear_conc,5,-0.5,1.071852092694466,1.1507144367841335,0.07886234408966764
adalimumab,nonlinear_conc,5,0.0,1.071852092694466,1.0690615535246404,-0.0027905391698255233
adalimumab,nonlinear_conc,5,0.5,1.071852092694466,1.0056418021269262,-0.06621029056753969
adalimumab,nonlinear_conc,5,1.0,1.071852092694466,0.9481270320666941,-0.12372506062777178
adalimumab,cosolute_interaction,6,-1.0,1.071852092694466,1.1456671434981454,0.07381505080367945
adalimumab,cosolute_interaction,6,-0.5,1.071852092694466,1.1158054890563975,0.04395339636193163
adalimumab,cosolute_interaction,6,0.0,1.071852092694466,1.07473349427978,0.002881401585314025
adalimumab,cosolute_interaction,6,0.5,1.071852092694466,1.0289052696651177,-0.04294682302934816
adalimumab,cosolute_interaction,6,1.0,1.071852092694466,1.0266389610749032,-0.04521313161956275
adalimumab,cosolute_protection,7,-1.0,1.071852092694466,0.8199483684934106,-0.25190372420105533
adalimumab,cosolute_protection,7,-0.5,1.071852092694466,1.020637296052974,-0.05121479664149198
adalimumab,cosolute_protection,7,0.0,1.071852092694466,1.0756716993394277,0.003819606644961837
adalimumab,cosolute_protection,7,0.5,1.071852092694466,1.0564945411490418,-0.015357551545424064
adalimumab,cosolute_protection,7,1.0,1.071852092694466,1.024334719324462,-0.047517373370003835
adalimumab,latent_0,8,-1.0,1.071852092694466,1.2576674724214705,0.18581537972700457
adalimumab,latent_0,8,-0.5,1.071852092694466,1.2566086974922452,0.18475660479777933
adalimumab,latent_0,8,0.0,1.071852092694466,1.2439772398727924,0.1721251471783265
adalimumab,latent_0,8,0.5,1.071852092694466,1.1658646688975605,0.09401257620309456
adalimumab,latent_0,8,1.0,1.071852092694466,1.0188476987707604,-0.053004393923705484
adalimumab,latent_1,9,-1.0,1.071852092694466,0.5302664358051907,-0.5415856568892752
adalimumab,latent_1,9,-0.5,1.071852092694466,0.6383572645613366,-0.43349482813312934
adalimumab,latent_1,9,0.0,1.071852092694466,0.8007731559988995,-0.2710789366955664
adalimumab,latent_1,9,0.5,1.071852092694466,0.9473685903234828,-0.12448350237098316
adalimumab,latent_1,9,1.0,1.071852092694466,1.0978649708717954,0.026012878177329446
belatacept,self_interaction,0,-1.0,0.30429338808541917,0.3479726786089831,0.04367929052356395
belatacept,self_interaction,0,-0.5,0.30429338808541917,0.3027268656261893,-0.001566522459229891
belatacept,self_interaction,0,0.0,0.30429338808541917,0.23985608520116136,-0.06443730288425781
belatacept,self_interaction,0,0.5,0.30429338808541917,0.19332823264217092,-0.11096515544324825
belatacept,self_interaction,0,1.0,0.30429338808541917,0.1685551265664238,-0.13573826151899537
belatacept,hydrophobicity,1,-1.0,0.30429338808541917,0.2461088873589357,-0.05818450072648346
belatacept,hydrophobicity,1,-0.5,0.30429338808541917,0.21356334319116826,-0.0907300448942509
belatacept,hydrophobicity,1,0.0,0.30429338808541917,0.2200935098324338,-0.08419987825298536
belatacept,hydrophobicity,1,0.5,0.30429338808541917,0.2806862758546668,-0.023607112230752347
belatacept,hydrophobicity,1,1.0,0.30429338808541917,0.3306150149788875,0.02632162689346834
belatacept,charge_environment,2,-1.0,0.30429338808541917,0.09152543816686642,-0.21276794991855275
belatacept,charge_environment,2,-0.5,0.30429338808541917,0.12869212076803532,-0.17560126731738385
belatacept,charge_environment,2,0.0,0.30429338808541917,0.19476665554697448,-0.1095267325384447
belatacept,charge_environment,2,0.5,0.30429338808541917,0.30312255372873576,-0.0011708343566834145
belatacept,charge_environment,2,1.0,0.30429338808541917,0.4045473295510238,0.10025394146560462
belatacept,ionic_screening,3,-1.0,0.30429338808541917,0.39406021860963103,0.08976683052421186
belatacept,ionic_screening,3,-0.5,0.30429338808541917,0.36709997636524305,0.06280658827982388
belatacept,ionic_screening,3,0.0,0.30429338808541917,0.31012006702793815,0.005826678942518981
belatacept,ionic_screening,3,0.5,0.30429338808541917,0.2763761640252579,-0.027917224060161283
belatacept,ionic_screening,3,1.0,0.30429338808541917,0.27928031285177524,-0.025013075233643933
belatacept,crowding,4,-1.0,0.30429338808541917,0.3667502098490759,0.062456821763656745
