Feature_Group,Importance_dMSE
Phi_Protein,0.038382093534272896
Protein_conc,0.03329103875340397
conc_x_HCI,0.03160435656770724
log_conc,0.018030050040418813
conc_x_kP,0.013081176970680524
Stabilizer_type,0.010159680025376934
conc_sq,0.010153659489725539
Phi_Total,0.009316284086479772
Exp_Crowding,0.007621281506553303
Buffer_conc,0.0076020898273363915
Total_Solute_Mass,0.007574913155725652
Protein_type,0.006653273704748268
Buffer_type,0.005179122469672683
KD_Asymptote,0.004224064939701462
Buffer_pH,0.0035706674103728846
Protein_class_type,0.0029933594546639637
Excipient_type,0.0029151313596747445
Temperature,0.0025370338036206017
trehalose_low,0.0020225548386092994
Crowding_Index,0.0015885916659132832
prior_tween-20,0.001453646795579704
Salt_type,0.001229759905226951
prior_arginine,0.0012080122003621397
trehalose_high,0.0011871578334483246
Phi_Stabilizer,0.0011312370595292689
Stabilizer_conc,0.0010497796391392544
Stabilizer_Squared,0.0009655851570706045
Effective_Protein_Fraction,0.000890947805824301
prior_stabilizer,0.0008267907993506256
lysine_low,0.0008211551928067572
arginine_low,0.0007965094408548933
Excipient_conc,0.0007364170534722766
nacl_high,0.0007340757179804414
prior_proline,0.000537515202838566
Surfactant_type,0.0005360267641464599
Salt_conc,0.0005098163825138545
prior_lysine,0.0005030074070425748
nacl_low,0.00048800110551149283
proline_low,0.00047743166144008885
tween-20_low,0.0004616028137816664
arginine_high,0.0004351661883250785
lysine_high,0.00042814179488851
prior_tween-80,0.0004004710409462736
PI_mean,0.0003413745650933603
proline_high,0.0003408253434149522
prior_nacl,0.00033951219583504364
MW,0.00027081598992327333
tween-80_high,0.0002558338046770147
tween-20_high,0.0002460922795730087
Surfactant_conc,0.0002097407545879242
PI_range,0.0002004537868315944
tween-80_low,0.00014234568487341698
kP,0.00012954314580471311
HCI,0.0001226399962506123
C_Class,0.00010715511179501622
stabilizer_low,0.0
stabilizer_high,0.0
