ID,Protein,Conc_Level,Buffer,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000,Model_source_NaCl,Conc_in_range_NaCl,Model_source_Sucrose,Conc_in_range_Sucrose,Warnings,Model_source_tween_20,Conc_in_range_tween_20,Model_source_tween_80,Conc_in_range_tween_80,Model_source_Trehalose,Conc_in_range_Trehalose,Model_source_Arginine,Conc_in_range_Arginine,Model_source_Proline,Conc_in_range_Proline,Model_source_Lysine,Conc_in_range_Lysine
F25,poly-hIgG,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='PBS_10mM', conc_level='High'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F26,poly-hIgG,Medium,PBS_10mM,4.151541498940008,3.647235086261287,3.2042039346092968,2.814998416196344,2.123719646668783,global_average,True,global_average,True,Protein_conc 95.0 mg/mL for 'poly-hIgG' falls outside all observed bins; assigned to closest bin 'Medium'.,,,,,,,,,,,,
F27,poly-hIgG,High,PBS_10mM,5.868606317824007,5.714107799078382,5.5636914830238196,5.417249194031675,5.111805666569874,global_average,True,global_average,True,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='PBS_10mM', conc_level='High'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F28,BSA,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F29,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F30,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F31,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F32,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F33,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F34,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
