ID,Protein,Conc_Level,Buffer,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000,Model_source_NaCl,Conc_in_range_NaCl,Model_source_Sucrose,Conc_in_range_Sucrose,Warnings,Model_source_tween_20,Conc_in_range_tween_20,Model_source_tween_80,Conc_in_range_tween_80,Model_source_Trehalose,Conc_in_range_Trehalose,Model_source_Arginine,Conc_in_range_Arginine,Model_source_Proline,Conc_in_range_Proline,Model_source_Lysine,Conc_in_range_Lysine
F55,poly-hIgG,Low,PBS_10mM,2.2340326083288615,2.055401038188603,1.891054599101699,1.739849396852575,1.4512926226033136,global_average,True,global_average,True,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='PBS_10mM', conc_level='Low'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F56,BSA,Medium,PBS_10mM,4.151541498940008,3.647235086261287,3.2042039346092968,2.814998416196344,2.123719646668783,global_average,True,global_average,True,"No model for ingredient='tween-20', protein='BSA', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F57,BSA,Medium,PBS_10mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,"No model for ingredient='tween-20', protein='BSA', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F58,poly-hIgG,Low,Histidine_100mM,1.5290483862614623,1.4602914972183092,1.39462752465546,1.3319155967018854,1.2050215677418588,global_average,True,global_average,False,"Ingredient 'Sucrose' conc 1.01 outside trained range [0.0, 0.8]. Extrapolating (extrapolate=True).",,,,,,,,,,,,
F59,poly-hIgG,Medium,Histidine_100mM,3.841496501791207,3.4115626599976756,3.0297652741189935,2.6907115703994755,2.07833864898706,global_average,True,global_average,True,,,,,,,,,,,,,
F60,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F61,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F62,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,,,,,,,,
F63,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,,,,,,,,
F64,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F65,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F66,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F67,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
