ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,Charge,ProtPi PI,Unnamed: 29,_conc_bin
459,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,135.0,25.0,Histidine,6.3,12.5,none,0.0,none,0.0,none,0.0,Lysine,250.0,1.0,1.0,2.45,2.08,1.96,1.69,1.5,20.693,8.582,,
460,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,135.0,25.0,Histidine,6.3,12.5,none,0.0,none,0.0,none,0.0,Proline,25.0,1.0,1.0,4.77,4.77,4.65,4.28,3.8,20.693,8.582,,
461,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,135.0,25.0,Histidine,6.3,12.5,none,0.0,none,0.0,none,0.0,Proline,100.0,1.0,1.0,5.51,4.16,3.8,3.27,2.4,20.693,8.582,,
462,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,135.0,25.0,Histidine,6.3,12.5,none,0.0,none,0.0,none,0.0,Proline,250.0,1.0,1.0,3.42,2.57,2.08,1.69,1.5,20.693,8.582,,
630,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,206.0,25.352,Histidine,6.1,13.5,NaCl,76.0,Sucrose,0.2,tween-80,0.05,none,0.0,1.0,1.0,32.06,33.47,34.87,35.99,6.360255267,24.396,8.582,,
631,Adalimumab,mAb_IgG1,3.0,148,8.7,0.3,206.0,25.32333333,Histidine,6.1,13.5,NaCl,76.0,Sucrose,0.2,tween-80,0.05,none,0.0,1.0,1.0,45.97,45.9,46.8,41.79,8.137937881,24.396,8.582,,
387,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,70.0,25.0,Histidine,5.9,18.8,none,0.0,none,0.0,none,0.0,none,0.0,1.4,1.5,3.94,3.94,3.94,3.31,1.8,-4.421,5.601,,
388,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,55.0,25.0,Histidine,5.9,17.5,none,0.0,none,0.0,none,0.0,none,0.0,1.4,1.5,2.3,2.3,2.3,2.12,1.84,-4.421,5.601,,
389,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,55.0,25.0,Histidine,6.0,35.0,none,0.0,none,0.0,none,0.0,none,0.0,1.4,1.5,2.05,2.05,2.05,1.89,1.64,-5.783,5.601,,
390,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,55.0,25.0,Histidine,5.9,17.5,none,0.0,Sucrose,0.3,none,0.0,Arginine,25.0,1.4,1.5,3.0,2.35,2.35,1.66,1.1,-4.421,5.601,,
391,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,55.0,25.0,Histidine,5.9,17.5,none,0.0,Sucrose,0.3,none,0.0,none,0.0,1.4,1.5,2.19,2.19,2.19,2.19,2.19,-4.421,5.601,,
392,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,20.0,25.0,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.4,1.5,1.66,1.66,1.19,1.09,0.95,-5.783,5.601,,
393,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,70.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,1.4,1.5,2.9,2.55,2.55,2.55,2.5,-16.95,5.601,,
394,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,70.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,none,0.0,none,0.0,1.4,1.5,3.39,3.39,3.39,2.76,2.1,-16.95,5.601,,
395,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,70.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,Arginine,25.0,1.4,1.5,2.25,2.25,2.25,2.25,2.25,-16.95,5.601,,
396,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,70.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,Proline,25.0,1.4,1.5,2.89,2.89,2.89,2.66,2.31,-16.95,5.601,,
397,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,35.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,1.4,1.5,1.3,1.3,1.3,1.3,1.3,-16.95,5.601,,
421,Belatacept,Fc-Fusion,4.5,90,5.6,0.5,110.0,25.0,Histidine,5.8,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.4,1.5,7.29,7.29,7.29,6.43,3.2,-3.005,5.601,,
171,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,146.0,27.5,Acetate,5.4,40.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,3.1,3.1,3.1,2.54,1.75,37.818,8.273,,
172,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,136.0,27.5,Histidine,6.3,11.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,3.23,3.23,2.97,2.46,1.66,17.436,8.273,,
173,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,100.0,27.5,Histidine,6.2,11.5,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,3.04,2.76,2.35,2.24,1.4,19.34,8.273,,
174,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,50.0,27.5,Histidine,6.1,12.3,none,0.0,Sucrose,0.5,none,0.0,none,0.0,1.0,1.0,1.62,1.62,1.62,1.45,1.3,21.36,8.273,,
175,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,60.0,27.5,Histidine,6.1,12.3,none,0.0,Sucrose,0.25,tween-80,0.1,none,0.0,1.0,1.0,2.3,2.3,2.02,1.94,1.1,21.36,8.273,,
176,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,80.0,27.5,Histidine,6.2,11.8,none,0.0,none,0.0,tween-80,0.1,none,0.0,1.0,1.0,2.3,2.3,2.3,2.3,2.3,19.34,8.273,,
177,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,75.0,27.5,Acetate,5.2,31.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.38,1.38,1.38,1.23,1.12,43.844,8.273,,
178,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,50.0,27.5,Acetate,5.2,27.0,none,0.0,Sucrose,0.5,tween-80,0.05,none,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,43.844,8.273,,
179,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,75.0,27.5,Acetate,5.2,31.0,none,0.0,none,0.0,tween-80,0.05,none,0.0,1.0,1.0,1.75,1.66,1.66,1.66,1.6,43.844,8.273,,
180,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,100.0,27.5,Acetate,5.3,35.0,none,0.0,Sucrose,0.25,tween-80,0.1,none,0.0,1.0,1.0,2.58,2.39,2.07,1.76,1.2,40.695,8.273,,
218,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,250.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,1.0,1.0,13.26,13.26,12.03,6.61,3.82,5.541,8.273,,
219,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,60.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,1.0,1.0,2.76,2.76,2.76,2.52,1.2,5.541,8.273,,
220,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,100.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.1,none,0.0,1.0,1.0,2.21,2.21,2.21,1.68,1.6,5.541,8.273,,
221,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,100.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,1.0,1.0,5.0,3.22,2.76,2.36,1.4,5.541,8.273,,
222,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,80.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.5,tween-80,0.05,none,0.0,1.0,1.0,5.32,3.84,2.48,1.9,1.81,5.541,8.273,,
223,Bevacizumab,mAb_IgG1,3.0,149,8.3,0.3,75.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.25,tween-80,0.05,none,0.0,1.0,1.0,2.82,2.82,2.82,2.57,1.6,5.541,8.273,,
49,BGG,Polyclonal,3.0,150,6.6,1.0,85.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.22,none,0.0,none,0.0,0.9,0.9,3.45,3.45,3.45,3.15,2.95,,,,
50,BGG,Polyclonal,3.0,150,6.6,1.0,43.6,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.15,none,0.0,0.9,0.9,1.55,1.55,1.55,1.42,1.3,,,,
51,BGG,Polyclonal,3.0,150,6.6,1.0,64.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.704,tween-80,0.037,none,0.0,0.9,0.9,3.62,3.62,3.62,3.31,3.15,,,,
52,BGG,Polyclonal,3.0,150,6.6,1.0,85.7,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.0624,none,0.0,0.9,0.9,2.74,2.74,2.74,2.42,2.0,,,,
