ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,Charge,ProtPi PI,
262,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,187.5,27.5,Histidine,6.2,13.5,none,0.0,Sucrose,0.75,none,0.0,none,0.0,1.3,1.1,3.82,3.82,3.32,2.21,1.4,5.349,6.672,
259,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,304.0,27.5,Histidine,6.2,11.6,none,0.0,none,0.0,none,0.0,none,0.0,1.3,1.1,10.95,10.95,10.31,6.49,4.5,5.349,6.672,
265,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,230.0,27.5,Histidine,6.2,12.8,none,0.0,Sucrose,0.5,none,0.0,none,0.0,1.3,1.1,5.24,5.09,5.09,4.5,4.1,5.349,6.672,
263,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,270.0,27.5,Acetate,5.4,41.0,none,0.0,none,0.0,tween-80,0.1,none,0.0,1.3,1.1,12.17,9.64,8.17,5.22,4.5,19.489,6.672,
272,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,55.0,27.5,Acetate,5.1,23.0,none,0.0,none,0.0,tween-20,0.05,none,0.0,1.3,1.1,1.2,1.2,1.2,1.01,0.96,27.987,6.672,
283,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,30.0,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,tween-20,0.025,none,0.0,1.3,1.1,1.01,1.01,1.01,0.92,0.88,8.269,6.672,
267,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,150.0,27.5,Acetate,5.3,30.0,none,0.0,none,0.0,tween-80,0.075,none,0.0,1.3,1.1,2.47,2.42,2.42,2.21,2.2,21.993,6.672,
287,Ibalizumab,mAb_IgG4,3.5,150.0,6.85,0.3,80.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.5,tween-80,0.1,none,0.0,1.3,1.1,2.12,2.12,2.12,2.12,2.12,-4.239,6.672,
