Feature_Group,Importance_dMSE
conc_x_HCI,0.022885090326879135
log_conc,0.018726871589001014
Protein_conc,0.018626364402840885
Phi_Protein,0.011630641352355323
conc_x_kP,0.010734584897878017
conc_sq,0.009192191610505863
Stabilizer_type,0.006630906075152454
Exp_Crowding,0.005436224172612249
KD_Asymptote,0.0042005120026888925
Buffer_type,0.0037922924196898394
Protein_type,0.003759160565436886
Buffer_conc,0.003473048053513679
Excipient_type,0.0027855390672512723
trehalose_low,0.0026653685020565174
Phi_Total,0.0024311735179325857
Effective_Protein_Fraction,0.002169599156469467
Total_Solute_Mass,0.0020488762862849556
Temperature,0.0019816370674349947
Protein_class_type,0.0018543108794142338
Buffer_pH,0.001723170472526318
trehalose_high,0.0014912512885222606
prior_stabilizer,0.001335278927141522
Crowding_Index,0.0012757165948595588
prior_arginine,0.0009495824289873465
Stabilizer_conc,0.0009406657160091481
prior_tween-20,0.0009381225491387549
Surfactant_type,0.0009007017941527178
proline_low,0.0008185384084869653
Phi_Stabilizer,0.0008177722572720886
Salt_type,0.0008157798133042477
Stabilizer_Squared,0.000807965064695354
nacl_high,0.0007754773389741527
prior_tween-80,0.0007554739866882307
arginine_low,0.0007493519561433803
prior_proline,0.0007070934238347475
Excipient_conc,0.0006995127416724034
lysine_low,0.0006835424834336582
prior_lysine,0.0005980956497731518
prior_nacl,0.0005260963039186058
nacl_low,0.0004806729819669762
Salt_conc,0.0004427551073389567
lysine_high,0.00041740782884574015
proline_high,0.00035281389725284537
tween-80_low,0.00028847270223184007
arginine_high,0.0002750366995157433
tween-20_high,0.00022918833984631078
tween-20_low,0.00019708759526996557
tween-80_high,0.00018905432048019546
Surfactant_conc,0.0001833044081792079
HCI,0.00014957492889735788
kP,0.00014888792621844428
C_Class,8.781710365056081e-05
MW,2.991286442355183e-05
PI_range,3.6984232044609544e-06
PI_mean,1.7886362648246446e-06
stabilizer_low,0.0
stabilizer_high,0.0
