feature,delta_mse_mean,delta_mse_std,category
log_conc,0.037276961939272275,0.0068205797961676164,Derived: Concentration
Protein_conc,0.01954220271195308,0.0022480897407414096,Formulation
conc_x_kP,0.013748712568554936,0.0013919239680806046,Derived: Interaction
conc_x_HCI,0.012946734989172726,0.001381512411198572,Derived: Interaction
Phi_Protein,0.009280871124682812,0.0007505747104995055,Derived: Volume Fraction
Total_Solute_Mass,0.007131836632940121,0.0007453954880763363,Derived: Crowding
conc_sq,0.004957668561414064,0.0013965279954611437,Derived: Concentration
Stabilizer_type,0.0046764994017277975,0.0009575276752830186,Stabilizer
Phi_Total,0.004552060436504978,0.0004806862381740536,Derived: Volume Fraction
Buffer_conc,0.0032938638854905916,0.0016955339702243006,Buffer
Exp_Crowding,0.003148323707255663,0.0009079583942804508,Derived: Crowding
Temperature,0.00298308261562081,0.00044009702778792986,Process
Buffer_type,0.0027509210950817297,0.0007509981678730565,Buffer
Protein_type,0.0026847833257890997,0.0008921173605534088,Protein Identity
KD_Asymptote,0.002571671254660306,0.000810353362484775,Derived: Crowding
Buffer_pH,0.0017901717328009745,0.0004217776405715136,Buffer
Effective_Protein_Fraction,0.0012477932906806697,0.00018750065216704975,Derived: Crowding
Excipient_type,0.001149612280956368,0.0003181933497766983,Excipient
Salt_type,0.0010430049858328476,0.00018843499810785864,Salt / Ionic
Protein_class_type,0.0008878539309593171,0.0003371016469657158,Protein Identity
Surfactant_type,0.0007299358696434702,0.0002772657215274166,Surfactant
Stabilizer_Squared,0.000649247255963166,0.0001732324392117701,Derived: Crowding
trehalose_low,0.000615343492845454,0.0002482655666713248,Derived: Concentration Split
Salt_conc,0.0006085808554165204,0.00014678129891999958,Salt / Ionic
nacl_low,0.000550188059351893,0.00010733491689246695,Derived: Concentration Split
trehalose_high,0.0005193524164768372,0.00019938852686051563,Derived: Concentration Split
Crowding_Index,0.0004084136358409113,0.00022117001610358073,Derived: Crowding
Phi_Stabilizer,0.00028250734796343425,5.864314188927735e-05,Derived: Volume Fraction
kP,0.00025679747144986777,7.275125912894331e-05,Protein Property
MW,0.0002259498042498995,5.512772739068501e-05,Protein Property
tween-80_low,0.0002209813762898515,0.00010452673360097139,Derived: Concentration Split
nacl_high,0.00020623637855347746,0.0001013143070738921,Derived: Concentration Split
arginine_high,0.00020578598619900554,6.234364529063059e-05,Derived: Concentration Split
HCI,0.00018367421450397309,3.7022146780169716e-05,Protein Property
tween-20_high,0.00018315348157110675,0.00016464141280253197,Derived: Concentration Split
Stabilizer_conc,0.00018312592489033467,8.095000971651403e-05,Stabilizer
arginine_low,0.00017660031337387452,9.41096958159897e-05,Derived: Concentration Split
C_Class,0.00017590900359596914,5.9914263570144343e-05,Protein Property
Surfactant_conc,0.00015666258604490717,7.198952758577687e-05,Surfactant
tween-20_low,0.000155828135307662,0.0001222595480494548,Derived: Concentration Split
lysine_low,0.0001523622733290795,8.56573964392766e-05,Derived: Concentration Split
Excipient_conc,0.00014835302150355314,0.00010722737973731698,Excipient
PI_mean,0.00010758543437164748,4.8707662106230045e-05,Protein Property
lysine_high,0.00010431750422716718,2.504308144128937e-05,Derived: Concentration Split
tween-80_high,9.98799371478151e-05,3.15070689748921e-05,Derived: Concentration Split
proline_low,9.955373359521379e-05,0.00013192267719926916,Derived: Concentration Split
PI_range,6.438621171113582e-05,3.040389632031879e-05,Protein Property
proline_high,2.1855391534084373e-05,2.01264720824166e-05,Derived: Concentration Split
prior_arginine,0.0,0.0,Derived: Prior / Regime
prior_lysine,0.0,0.0,Derived: Prior / Regime
prior_proline,0.0,0.0,Derived: Prior / Regime
prior_nacl,0.0,0.0,Derived: Prior / Regime
prior_stabilizer,0.0,0.0,Derived: Prior / Regime
prior_tween-20,0.0,0.0,Derived: Prior / Regime
prior_tween-80,0.0,0.0,Derived: Prior / Regime
stabilizer_low,0.0,0.0,Derived: Concentration Split
stabilizer_high,0.0,0.0,Derived: Concentration Split
