Feature_Group,Importance_dMSE
Protein_type,0.0038668632193066405
conc_x_HCI,0.0035873061213290737
KD_Asymptote,0.002764663427809618
Temperature,0.002699397174484735
Exp_Crowding,0.002622186921935773
log_conc,0.00257544643318516
conc_x_kP,0.002567041754868552
Total_Solute_Mass,0.002236092047007296
Phi_Protein,0.0021335326281509536
Phi_Total,0.001726008619575366
Protein_conc,0.0016765648734128127
Protein_class_type,0.0015779220929257685
conc_sq,0.0011879865008936983
prior_stabilizer,0.0008030166482677209
prior_arginine,0.0007964429204473187
C_Class,0.0007596090661411339
Buffer_pH,0.0007237878727703109
Stabilizer_Squared,0.0007106965456634903
prior_nacl,0.0006822072418163592
Buffer_type,0.0006767023360845191
Buffer_conc,0.0006736296572628763
Salt_type,0.000633744081775571
Crowding_Index,0.0006237166304962193
Salt_conc,0.0006128935347814932
PI_range,0.0006070735442433202
nacl_low,0.0005578805598534138
PI_mean,0.0005473998419840021
Stabilizer_type,0.0005126662946365549
trehalose_high,0.0004417436668451343
arginine_low,0.00042889237687230436
MW,0.0004165598142565081
lysine_low,0.0004043515301383263
Effective_Protein_Fraction,0.00038248547197321583
prior_lysine,0.00036231591880313274
HCI,0.0003202419307958143
tween-80_low,0.00031804691405370837
prior_tween-80,0.00029064481616040624
Stabilizer_conc,0.0002904737212090728
lysine_high,0.0002866910574729955
tween-20_high,0.00028033540439266827
Phi_Stabilizer,0.0002782504079007087
Surfactant_type,0.00025311500246146847
kP,0.0002498570976571055
Surfactant_conc,0.00024068469223948764
prior_tween-20,0.00020164868855124946
trehalose_low,0.00018449082162299776
proline_low,0.00018101335127530122
prior_proline,0.00016224355824243086
tween-20_low,0.00015950576051197013
arginine_high,0.00014555015216194227
nacl_high,0.00012430132749124446
proline_high,0.00011883654682010025
tween-80_high,0.00010926441706248478
Excipient_conc,8.542823083735988e-05
Excipient_type,3.441767557548457e-05
stabilizer_low,0.0
stabilizer_high,0.0
