Feature,Importance_dMSE
num__conc_x_HCI,0.0035873061213290737
num__KD_Asymptote,0.002764663427809618
num__Temperature,0.002699397174484735
num__Exp_Crowding,0.002622186921935773
num__log_conc,0.00257544643318516
num__conc_x_kP,0.002567041754868552
num__Total_Solute_Mass,0.002236092047007296
num__Phi_Protein,0.0021335326281509536
num__Phi_Total,0.001726008619575366
num__Protein_conc,0.0016765648734128127
num__conc_sq,0.0011879865008936983
cat__Protein_type_ibalizumab,0.0009197441798783398
num__prior_stabilizer,0.0008030166482677209
num__prior_arginine,0.0007964429204473187
num__C_Class,0.0007596090661411339
cat__Protein_type_poly-higg,0.0007305353215693589
num__Buffer_pH,0.0007237878727703109
num__Stabilizer_Squared,0.0007106965456634903
num__prior_nacl,0.0006822072418163592
num__Buffer_conc,0.0006736296572628763
num__Crowding_Index,0.0006237166304962193
num__Salt_conc,0.0006128935347814932
num__PI_range,0.0006070735442433202
cat__Protein_class_type_fc-fusion,0.0005948077763897695
num__nacl_low,0.0005578805598534138
cat__Protein_type_pembrolizumab,0.0005502630621000461
num__PI_mean,0.0005473998419840021
cat__Protein_class_type_other,0.0005091671589309357
cat__Protein_type_bsa,0.0004880509087798624
num__trehalose_high,0.0004417436668451343
num__arginine_low,0.00042889237687230436
num__MW,0.0004165598142565081
num__lysine_low,0.0004043515301383263
cat__Protein_class_type_bispecific,0.00038252633949862995
num__Effective_Protein_Fraction,0.00038248547197321583
num__prior_lysine,0.00036231591880313274
cat__Protein_type_adalimumab,0.00034754342691926954
num__HCI,0.0003202419307958143
num__tween-80_low,0.00031804691405370837
cat__Excipient_type_lysine,0.00031535300475676355
cat__Protein_type_vudalimab,0.00030758990044043276
cat__Salt_type_nacl,0.0003035828110501543
num__prior_tween-80,0.00029064481616040624
num__Stabilizer_conc,0.0002904737212090728
num__lysine_high,0.0002866910574729955
num__tween-20_high,0.00028033540439266827
num__Phi_Stabilizer,0.0002782504079007087
cat__Buffer_type_histidine,0.0002675450783432391
num__kP,0.0002498570976571055
num__Surfactant_conc,0.00024068469223948764
cat__Salt_type_unknown,0.0002245619528239741
cat__Protein_type_etanercept,0.00022067851148575499
cat__Protein_class_type_mab_igg4,0.00021430404112763278
cat__Protein_class_type_polyclonal,0.00021307490427075262
cat__Buffer_type_acetate,0.0002080377536084841
num__prior_tween-20,0.00020164868855124946
cat__Buffer_type_pbs,0.00020111950413279588
cat__Stabilizer_type_none,0.00018998975102088242
num__trehalose_low,0.00018449082162299776
num__proline_low,0.00018101335127530122
cat__Protein_type_nivolumab,0.00017457107115122564
num__prior_proline,0.00016224355824243086
num__tween-20_low,0.00015950576051197013
num__arginine_high,0.00014555015216194227
cat__Surfactant_type_none,0.00013312023795556543
cat__Stabilizer_type_trehalose,0.00012981261308006933
num__nacl_high,0.00012430132749124446
num__proline_high,0.00011883654682010025
cat__Stabilizer_type_unknown,0.00011729603567814904
num__tween-80_high,0.00010926441706248478
cat__Salt_type_none,0.00010559931790144264
num__Excipient_conc,8.542823083735988e-05
cat__Protein_type_bgg,8.444160560911775e-05
cat__Stabilizer_type_sucrose,7.55678948574541e-05
cat__Surfactant_type_tween-80,5.9238350323575356e-05
cat__Protein_type_bevacizumab,4.913059752916643e-05
cat__Protein_class_type_mab_igg1,4.482159548499336e-05
cat__Surfactant_type_unknown,4.138339507957396e-05
cat__Excipient_type_proline,3.6546735839347935e-05
cat__Protein_type_trastuzumab,3.0601457796900974e-05
cat__Surfactant_type_tween-20,1.9373019102753714e-05
num__stabilizer_low,0.0
num__stabilizer_high,0.0
cat__Protein_type_none,-1.5380121398071017e-06
cat__Excipient_type_arginine,-1.832882014311636e-05
cat__Protein_type_belatacept,-3.4748811813027636e-05
cat__Excipient_type_none,-5.235918787037906e-05
cat__Excipient_type_unknown,-0.0002467940570071315
cat__Protein_class_type_unknown,-0.0003807797227769454
