Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Temperature,Buffer_type,Buffer_pH,Buffer_conc,C_Class,HCI,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,Protein_conc,Scenario_Name,prior_arginine,prior_lysine,prior_proline,prior_nacl,prior_stabilizer,prior_tween-20,prior_tween-80,arginine_low,arginine_high,lysine_low,lysine_high,proline_low,proline_high,nacl_low,nacl_high,tween-20_low,tween-20_high,tween-80_low,tween-80_high,stabilizer_low,stabilizer_high,trehalose_low,trehalose_high,Pred_Visc_100,Pred_Visc_1000,Pred_Visc_10000,Pred_Visc_100000,Pred_Visc_15000000
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,none,0.0,120.0,Control (Buffer Only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428828760843658,13.192766149042118,10.286053934839051,7.584729943780418,3.2732301978324516
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,1.0,120.0,Arginine (1mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.480335344854189,6.202489261653968,5.0627652908562375,4.120062869372402,2.677037098570364
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,25.0,120.0,Arginine (25mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.375101055561792,6.108408393100901,4.983342132452269,4.043784792143789,2.7056309625324864
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,50.0,120.0,Arginine (50mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.804936358586652,5.757182076919748,4.804983837783362,4.012965050019799,2.8098497046257607
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,75.0,120.0,Arginine (75mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.110769701372677,5.291358785128267,4.613497322260181,3.979025486405366,2.9000782778855667
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,100.0,120.0,Arginine (100mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.741752011596072,5.085577333356756,4.516888752172357,3.9871433788365542,2.92481514217754
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,none,0.0,150.0,Control (Buffer Only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.043656101627885,22.32178979045463,18.00837385000348,13.237094974360225,5.572215171128168
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,1.0,150.0,Arginine (1mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.144251602917274,8.433453271206115,6.904967433358731,5.6229853723441865,3.530050421721137
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,25.0,150.0,Arginine (25mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.835248354850846,8.308919319022243,6.802464937334923,5.523997479040326,3.4820487193720555
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,50.0,150.0,Arginine (50mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935911959332262,7.648531834903376,6.35840703048956,5.2097412919629,3.507310473244909
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,75.0,150.0,Arginine (75mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.963306926368184,6.846739802127868,5.885607005424657,5.008543728069844,3.5204015984853196
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,100.0,150.0,Arginine (100mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109819586604922,6.199722660654818,5.482383377261054,4.8462741145022346,3.5520719612689855
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,none,0.0,180.0,Control (Buffer Only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13757753687091,31.329620829098584,27.272076873174548,21.409394549306757,9.321288697439737
pembrolizumab,mab_igg4,3.5,149.0,7.57,0.3,25.0,histidine,6.0,15.0,1.3,1.1,none,0.0,none,0.0,none,0.0,arginine,1.0,180.0,Arginine (1mM),-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.583467024738042,11.368395214052022,9.370313394811879,7.678317026128515,4.858343805467386
